seq,billDay,reward,confGrp
int32,int32,[]{int32 id;int64 n},int32
1,1,10001~200000|10005~100000|10006~250,1
2,2,10001~400000|10005~200000|10010~800,1
3,3,10001~600000|10005~300000|23004~1,1
4,4,10001~800000|10005~400000|20012~8,1
5,5,10001~1000000|10005~500000|20003~1,1
6,6,10001~1200000|10005~600000|20047~1,1
7,7,10001~1400000|10005~700000|21051~50,1
8,8,10001~1600000|10005~800000|20012~16,1
9,9,10001~1800000|10005~900000|49003~1,1
10,10,10001~2000000|10005~1000000|20003~1,1
11,11,10001~2200000|10005~1100000|20013~5,1
12,12,10001~2400000|10005~1200000|10006~2000,1
13,13,10001~2600000|10005~1300000|21051~50,1
14,14,10001~2800000|10005~1400000|20023~20,1
15,15,21051~50|20003~1|10027~15,1
