seq,billCond,reward,confGrp
int32,int32,[]{int32 id;int64 n},int32
1,1000,10001~300000,1
2,2000,10005~500000,1
3,6000,20002~5,1
4,11000,10006~1000,1
5,19000,10001~500000,1
6,33000,20030~1,1
7,65000,10005~1000000,1
8,100000,21058~50,1
9,150000,10001~2000000|21051~50,1
10,200000,22319~50,1
11,300000,20003~10|21058~10,1
12,400000,20003~10|21058~10,1
13,500000,20003~20|21058~50,1
14,600000,20003~10|21058~10,1
15,700000,20003~10|21058~10,1
16,800000,20003~10|21058~10,1
17,900000,20003~10|21058~10,1
18,1000000,20003~20|21058~50,1
