grp,eventNum
int32,[]{int32 eventId;int32 n}
1001,10~3|20~1|30~1|11~1|50~1
1002,10~3|20~2|30~1|11~1|40~1|50~2
1003,10~3|20~2|30~1|11~1|40~1|50~2
1004,10~3|30~1|11~1|40~1|50~2
1005,10~3|30~1|11~1|40~1|50~2|51~1
1006,10~3|20~1|30~1|11~1|40~1|50~2|60~1
1007,10~3|30~1|11~1|40~1|50~2|70~1
1008,10~3|20~2|30~1|11~1|40~1|50~2
1009,10~3|30~1|11~1|40~1|50~2|70~2
1010,10~3|30~1|11~1|40~1|50~3|51~1
1011,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1012,10~3|30~1|11~1|40~1|50~3|70~1
1013,10~3|20~2|30~1|11~1|40~1|50~3
1014,10~3|30~1|11~1|40~1|50~3|70~2
1015,10~3|30~1|11~1|40~1|50~3|51~1
1016,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1017,10~3|30~1|11~1|40~1|50~3|70~1
1018,10~3|20~2|30~1|11~1|40~1|50~3
1019,10~3|30~1|11~1|40~1|50~3|70~2
1020,10~3|30~1|11~1|40~1|50~3|51~1
1021,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1022,10~3|30~1|11~1|40~1|50~3|70~1
1023,10~3|20~2|30~1|11~1|40~1|50~3
1024,10~3|30~1|11~1|40~1|50~3|70~2
1025,10~3|30~1|11~1|40~1|50~3|51~2
1026,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1027,10~3|30~1|11~1|40~1|50~3|70~1
1028,10~3|20~2|30~1|11~1|40~1|50~3
1029,10~3|30~1|11~1|40~1|50~3|70~2
1030,10~3|30~1|11~1|40~1|50~3|51~2
1031,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1032,10~3|30~1|11~1|40~1|50~3|70~1
1033,10~3|20~2|30~1|11~1|40~1|50~3
1034,10~3|30~1|11~1|40~1|50~3|70~2
1035,10~3|30~1|11~1|40~1|50~3|51~2
1036,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1037,10~3|30~1|11~1|40~1|50~3|70~1
1038,10~3|20~2|30~1|11~1|40~1|50~3
1039,10~3|30~1|11~1|40~1|50~3|70~2
1040,10~3|30~1|11~1|40~1|50~3|51~2
1041,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1042,10~3|30~1|11~1|40~1|50~3|70~1
1043,10~3|20~2|30~1|11~1|40~1|50~3
1044,10~3|30~1|11~1|40~1|50~3|70~2
1045,10~3|30~1|11~1|40~1|50~3|51~2
1046,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1047,10~3|30~1|11~1|40~1|50~3|70~1
1048,10~3|20~2|30~1|11~1|40~1|50~3
1049,10~3|30~1|11~1|40~1|50~3|70~2
1050,10~3|30~1|11~1|40~1|50~3|51~2
1051,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1052,10~3|30~1|11~1|40~1|50~3|70~1
1053,10~3|20~2|30~1|11~1|40~1|50~3
1054,10~3|30~1|11~1|40~1|50~3|70~2
1055,10~3|30~1|11~1|40~1|50~3|51~3
1056,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1057,10~3|30~1|11~1|40~1|50~3|70~1
1058,10~3|20~2|30~1|11~1|40~1|50~3
1059,10~3|30~1|11~1|40~1|50~3|70~2
1060,10~3|30~1|11~1|40~1|50~3|51~3
1061,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1062,10~3|30~1|11~1|40~1|50~3|70~1
1063,10~3|20~2|30~1|11~1|40~1|50~3
1064,10~3|30~1|11~1|40~1|50~3|70~2
1065,10~3|30~1|11~1|40~1|50~3|51~3
1066,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1067,10~3|30~1|11~1|40~1|50~3|70~1
1068,10~3|20~2|30~1|11~1|40~1|50~3
1069,10~3|30~1|11~1|40~1|50~3|70~2
1070,10~3|30~1|11~1|40~1|50~3|51~3
1071,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1072,10~3|30~1|11~1|40~1|50~3|70~1
1073,10~3|20~2|30~1|11~1|40~1|50~3
1074,10~3|30~1|11~1|40~1|50~3|70~2
1075,10~3|30~1|11~1|40~1|50~3|51~3
1076,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1077,10~3|30~1|11~1|40~1|50~3|70~1
1078,10~3|20~2|30~1|11~1|40~1|50~3
1079,10~3|30~1|11~1|40~1|50~3|70~2
1080,10~3|30~1|11~1|40~1|50~3|51~3
1081,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1082,10~3|30~1|11~1|40~1|50~3|70~1
1083,10~3|20~2|30~1|11~1|40~1|50~3
1084,10~3|30~1|11~1|40~1|50~3|70~2
1085,10~3|30~1|11~1|40~1|50~3|51~3
1086,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1087,10~3|30~1|11~1|40~1|50~3|70~1
1088,10~3|20~2|30~1|11~1|40~1|50~3
1089,10~3|30~1|11~1|40~1|50~3|70~2
1090,10~3|30~1|11~1|40~1|50~3|51~3
1091,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1092,10~3|30~1|11~1|40~1|50~3|70~1
1093,10~3|20~2|30~1|11~1|40~1|50~3
1094,10~3|30~1|11~1|40~1|50~3|70~2
1095,10~3|30~1|11~1|40~1|50~3|51~3
1096,10~3|20~1|30~1|11~1|40~1|50~3|60~1
1097,10~3|30~1|11~1|40~1|50~3|70~1
1098,10~3|20~2|30~1|11~1|40~1|50~3
1099,10~3|30~1|11~1|40~1|50~3|70~2
1100,10~3|30~1|11~1|40~1|50~3|51~3|60~1
