seq,type,monster,bossPos,rewardShow,reward
int32,int32,[]int32,int32,int32,[]{int32 id;int32 n}
1,0,30170|30517|30502|30512|30018|30515,,20221,
2,0,30208|30506|30213|30016|30504|30056,,20221,
3,0,30505|30516|30512|30504|30512|30014,,20221,
4,0,30131|30517|30503|30502|30016|30507,,20221,
5,0,30509|30510|30512|30502|30133|30014,,20221,
6,0,30053|30130|30502|30515|30015|30508,,20221,
7,0,30214|30175|30323|30319|30345|30468,,20221,
8,0,30058|30138|30022|30300|30256|30236,,20221,
9,1,30019|30235|30022|30236|30024|30023,5,20221,
10,1,30058|30060|30061|30256|30260|30059,5,20221,
11,1,30136|30138|30141|30142|30301|30300,5,20221,
12,1,30175|30319|30323|30178|30445|30448,5,20221,
13,1,30214|30341|30470|30345|30468|30344,5,20221,
