seq,id,cost,exchangeLimit
int32,[]{int32 id;int32 n},[]{int32 id;int32 n},int32
1,20003~1,10002~1|20214~10|20220~5,1
2,10027~1,10002~1|20214~5,3
3,21058~1,10002~1|20214~1,1
4,20002~1,10002~1|20215~5|20216~6,3
5,20102~1,10002~1|20215~3|20216~10,1
6,20013~1,10002~1|20215~5|20216~8,1
7,21051~1,10002~1|20215~2|20216~3|20212~2,5
8,20219~1,10002~1|20214~1|20220~5,10
9,20217~1,10002~1|20214~1|20218~5,10
10,20211~1,10002~1|20214~1|20212~10,10
11,10001~10000,10002~1|20220~1,99
12,10005~10000,10002~1|20218~1,99
13,10006~10,10002~1|20212~1,99
