id,txt_Name,rank,reward,confGrp
int32,string,[]{int32 low;int32 high},[]{int32 id;int64 n},int32
1,第1名,1~1,20003~5|20002~20|21051~50|10002~2000|10006~1000,1
2,第2名,2~2,20003~4|20002~18|21051~40|10002~1750|10006~800,1
3,第3名,3~3,20003~3|20002~16|21051~30|10002~1500|10006~600,1
4,第4名,4~4,20003~2|20002~14|21051~25|10002~1250|10006~500,1
5,第5名,5~5,20003~1|20002~12|21051~20|10002~1000|10006~400,1
6,第6~10名,6~10,20002~10|21051~15|10002~800|10006~300,1
7,第11~20名,11~20,20002~5|21051~10|10002~600|10006~200,1
8,第21~50名,21~50,20002~3|21051~5|10002~400|10006~100,1
9,第51~100名,51~100,20002~2|21051~3|10002~200|10006~50,1
10,参与奖,0~0,21051~1|10002~50|10006~10,1
