seq,group,boxReward
int32,int32,[]{int32 id;int64 n}
1,1101,20001~5
2,1101,20002~2
3,1101,20003~1
4,1101,20012~3
5,1101,20013~1
6,1101,10027~1
7,1101,20011~3
8,1101,20201~2
9,1101,20202~1
10,1101,20101~2
11,1101,20102~1
12,1101,21031~20
13,1101,21041~10
14,1101,21051~5
15,1101,10002~200
16,1102,20001~5
17,1102,20002~2
18,1102,20003~1
19,1102,20012~3
20,1102,20013~1
21,1102,10027~1
22,1102,20011~3
23,1102,20203~2
24,1102,20204~1
25,1102,20101~2
26,1102,20102~1
27,1102,21031~20
28,1102,21041~10
29,1102,21051~5
30,1102,10002~200
