seq,group,problem,answer,rightReward,errorReward
int32,int32,string,[]string,[]{int32 id;int64 n},[]{int32 id;int64 n}
1,2101,普通召唤每天可以免费召唤几次？,3次|5次|10次|9次,10002~100,10002~50
2,2101,普通召唤进行免费召唤的间隔是多久？,10分钟|30分钟|5分钟|1分钟,10002~100,10002~50
3,2101,高级召唤累积满多少能量点可以获得奖励？,100|300|500|1000,10002~100,10002~50
4,2101,高级召唤能量点满槽后可以获什么奖励？,5星英雄|4星英雄|钻石|金币,10002~100,10002~50
5,2101,英雄需要达到多少级才能参与英灵试炼？,35级|40级|60级|80级,10002~100,10002~50
6,2101,参与英灵试炼可以获得以下那种道具？,天梯币|竞技币|源晶|萌萌币,10002~100,10002~50
7,2101,英灵试炼一共有多少层？,50层|20层|100层|15层,10002~100,10002~50
8,2101,英灵试炼每通过多少关可以获得额外奖励？,3关|5关|15关|2关,10002~100,10002~50
9,2101,试炼之塔挑战成功会消耗挑战次数吗？,不会|会,10002~100,10002~50
10,2101,试炼之塔挑战次数的恢复时间是多久一次？,10分钟|1小时|2小时|5小时,10002~100,10002~50
11,2101,试炼之塔每日可免费扫荡几次？,10次|5次|100次|1次,10002~100,10002~50
12,2101,转盘抽奖可以不能获得什么奖励？,源晶|金币|钻石|神器,10002~100,10002~50
13,2101,幸运轮盘10连抽一次消耗多少幸运轮盘币？,10|8|15|20,10002~100,10002~50
14,2101,酒馆中的任务最高为几星？,7星|8星|9星|10星,10002~100,10002~50
15,2101,酒馆中的任务可以通过什么道具进行刷新？,金币|竞技币|战魂|钻石,10002~100,10002~50
16,2101,酒馆中的任务被锁定后刷新时还会刷新该任务吗？,不会|会,10002~100,10002~50
17,2101,酒馆中的任务可以花费什么道具来立即完成？,金币|钻石|竞技币|进阶石,10002~100,10002~50
18,2101,酒馆新赠一个任务需要多久？,10分钟|1小时|2小时|5小时,10002~100,10002~50
19,2101,酒馆徽章有使用上限吗？,有|没有,10002~100,10002~50
20,2101,异龙水晶中召唤后可额外获得什么奖励？,钻石|金币|龙魂|英魂,10002~100,10002~50
21,2101,英雄置换需要消耗什么道具？,钻石|金币|龙魂|英魂,10002~100,10002~50
22,2101,英雄置换需要消耗多少龙魂？,100|200|1000|500,10002~100,10002~50
23,2101,英雄置换不能置换那些阵营的英雄？,水|雷|火|光暗,10002~100,10002~50
24,2101,异龙水晶能否进行跨阵营置换？,能|不能,10002~100,10002~50
25,2101,异龙水晶十连召唤需消耗多少个宝藏钥匙？,10|20|5|15,10002~100,10002~50
26,2101,铁匠铺中几件装备可合成高一级装备？,2件|3件|5件|6件,10002~100,10002~50
27,2101,珍宝商店的自动刷新间隔是多久？,12小时|2小时|10分钟|24小时,10002~100,10002~50
28,2101,萌萌商店可以手动刷新吗？,能|不能,10002~100,10002~50
29,2101,那个商店可以用英魂交换英雄？,萌萌商店|竞技商店|天梯商店|珍宝商店,10002~100,10002~50
30,2101,公会商店的货币是哪种？,公会币|金币|钻石|天梯币,10002~100,10002~50
31,2101,天梯商店的货币是哪种？,金币|钻石|萌萌币|天梯币,10002~100,10002~50
32,2101,萌萌商店的货币是哪种？,金币|钻石|萌萌币|天梯币,10002~100,10002~50
33,2101,竞技商店的货币是哪种？,竞技币|金币|钻石|萌萌币,10002~100,10002~50
34,2101,竞技场可以获得一下哪种奖励？,竞技币|萌萌币|体力|公会币,10002~100,10002~50
35,2101,竞技场中会消耗哪种道具？,高级召唤水晶|勇士券|幸运轮盘币|龙之密钥,10002~100,10002~50
36,2101,竞技场中可以通过那个功能复仇？,奖励|记录|防守阵容|商店,10002~100,10002~50
37,2101,竞技场中每次战斗会消耗多少勇士券？,1|2|4|10,10002~100,10002~50
38,2101,勇士券不能通过哪种途径获得？,竞技场兑换|珍宝商店购买|日常任务奖励|高级召唤,10002~100,10002~50
39,2101,祭坛分解英雄不能获得哪种道具？,战魂|进阶石|钻石|英魂,10002~100,10002~50
40,2101,分解已升级的英雄时按多少比例返还升级材料？,80%|200%|500%|300%,10002~100,10002~50
41,2101,分解已升星的英雄时按多少比例返还进阶石？,80%|200%|500%|300%,10002~100,10002~50
42,2101,分解已升星的英雄时按多少比例返还消耗的英雄？,100%|200%|500%|300%,10002~100,10002~50
43,2101,分解英雄后，英雄所穿戴的装备会退还至哪里？,商店|背包|铁匠铺|酒馆,10002~100,10002~50
44,2101,升级饰品所消耗的资源会在分解时返还吗？,不会|会,10002~100,10002~50
45,2101,转换饰品属性所消耗的资源会在分解时返还吗？,不会|会,10002~100,10002~50
46,2101,空间裂隙中不会遇到哪种类型的怪物？,熔铁卫士|绿魂精灵|赵云|晶体甲虫,10002~100,10002~50
47,2101,空间裂隙中的矿产不包括哪种类型？,橙色晶矿|紫色晶矿|蓝色晶矿|巨大晶矿,10002~100,10002~50
48,2101,空间裂隙中的矿产可同时占领几座不同类型的？,3|6|10|100,10002~100,10002~50
49,2101,空间裂隙中的同类型矿产最多同时占领几座？,10|100|50|1,10002~100,10002~50
50,2101,空间裂隙中不会遇到哪种事件？,怪物事件|矿产事件|宝箱事件|商店事件,10002~100,10002~50
51,2101,空间裂隙中进行探索会消耗体力吗？,不会|会,10002~100,10002~50
52,2101,空间裂隙中占领矿产会消耗多少体力？,100|50|20|10,10002~100,10002~50
53,2101,空间裂隙中挑战怪物会消耗多少体力？,100|50|20|10,10002~100,10002~50
54,2101,快速挂机可以获得几个小时的挂机奖励？,4|3|1|5,10002~100,10002~50
55,2101,快速通关可以连续开战几次？,10|100|5|20,10002~100,10002~50
56,2101,公会经验怎样才能增加？,参加公会副本|参加公会战|成员签到|公会频道聊天,10002~100,10002~50
57,2101,公会币不能通过哪种方式获得？,成员签到|参加公会副本|参加公会战|公会频道聊天,10002~100,10002~50
58,2101,公会等级达到多少级开启公会港口？,10级|8级|4级|5级,10002~100,10002~50
59,2101,公会等级达到多少级开启公会战？,9级|5级|4级|1级,10002~100,10002~50
60,2101,下列那个英雄可以复活队友？,疾风|水光|神谕者|翔空,10002~100,10002~50
61,2101,下列那个英雄可以石化对手？,疾风|鬼侍|水光|翔空,10002~100,10002~50
62,2101,下列那个英雄可以冰冻对手？,水光|小火龙|神爪|光明使者,10002~100,10002~50
63,2101,下列那个英雄可以麻痹对手？,水光|赵云|烈焰之刃|神爪,10002~100,10002~50
64,2101,下列那个英雄可以嘲讽对手？,督军潮吼|翔空|拉瓦|银色神官,10002~100,10002~50
65,2101,下列那个英雄可以反弹控制效果？,翔空|精灵队长|疾风|雷神之手,10002~100,10002~50
66,2101,下列那个英雄可以免疫伤害？,猎杀者|圣职者|魔剑士|沃顿,10002~100,10002~50
