id,target,type,attain,reward,sourceId,confGrp
int32,string,int32,[]{int32 attainId;double p2},[]{int32 id;int64 n},int32,int32
1001,高级召唤次数,1,1~50,20002~10|20004~1,1000,1
1002,高级召唤次数,1,1~100,20002~10,1000,1
1003,高级召唤次数,1,1~200,20002~10|20004~2,1000,1
1004,高级召唤次数,1,1~300,20002~10,1000,1
1005,高级召唤次数,1,1~400,20033~1|20004~3|10027~5,1000,1
1101,登录天数,2,4~1,20002~1,,1
1102,登录天数,2,4~2,20002~1,,1
1103,登录天数,2,4~3,20002~1|20004~1,,1
1104,登录天数,2,4~4,20002~1,,1
1105,登录天数,2,4~5,20002~1,,1
1106,登录天数,2,4~6,20002~1,,1
1107,登录天数,2,4~7,20002~1|20004~1,,1
1108,高级召唤次数,1,1~50,20002~10|20004~1,1000,2
1109,高级召唤次数,1,1~100,20002~10,1000,2
1110,高级召唤次数,1,1~200,20002~10|20004~2,1000,2
1111,高级召唤次数,1,1~300,20002~10,1000,2
1112,高级召唤次数,1,1~400,20033~1|20004~3|10027~5,1000,2
1113,登录天数,2,4~1,20002~1,,2
1114,登录天数,2,4~2,20002~1,,2
1115,登录天数,2,4~3,20002~1|20004~1,,2
1116,登录天数,2,4~4,20002~1,,2
1117,登录天数,2,4~5,20002~1,,2
1118,登录天数,2,4~6,20002~1,,2
1119,登录天数,2,4~7,20002~1|20004~1,,2
