id,grp,rank,reward
int32,int32,[]{int32 low;int32 high},[]{int32 id;int64 n}
1,101,1~1,20902~1|20003~25|10002~3000
2,101,2~2,20003~20|10002~2700
3,101,3~3,20003~15|10002~2250
4,101,4~10,20003~10|10002~1800
5,101,11~20,20002~20|10002~1500
6,101,21~50,20002~15|10002~1200
7,101,51~100,20002~10|10002~750
8,101,101~200,20002~6|10002~500
9,101,201~500,20002~3|10002~255
10,101,0~0,10002~50
11,102,1~1,20002~30|10002~2000
12,102,2~2,20002~25|10002~1800
13,102,3~3,20002~20|10002~1500
14,102,4~10,20002~17|10002~1200
15,102,11~20,20002~14|10002~1000
16,102,21~50,20002~11|10002~800
17,102,51~100,20002~8|10002~600
18,102,101~200,20002~5|10002~400
19,102,201~500,20002~3|10002~200
20,102,501~1000,20002~1|10002~100
21,102,0~0,10002~50
22,103,1~1,20003~20|20011~60
23,103,2~2,20003~15|20011~45
24,103,3~3,20003~10|20011~35
25,103,4~10,20003~8|20011~30
26,103,11~20,20003~6|20011~25
27,103,21~50,20003~4|20011~20
28,103,51~100,20003~3|20011~15
29,103,101~200,20003~2|20011~10
30,103,201~500,20003~1|20011~5
31,103,0~0,20011~2
32,104,1~1,10011~1000|10010~3000
33,104,2~2,10011~900|10010~2500
34,104,3~3,10011~800|10010~2000
35,104,4~10,10011~700|10010~1500
36,104,11~20,10011~600|10010~1000
37,104,21~50,10011~500|10010~800
38,104,51~100,10011~400|10010~500
39,104,101~200,10011~255|10010~300
40,104,201~500,10011~100|10010~100
41,104,0~0,10011~50
42,105,1~1,20023~40|10002~2000
43,105,2~2,20023~30|10002~1800
44,105,3~3,20023~20|10002~1500
45,105,4~10,20022~20|10002~1200
46,105,11~20,20022~15|10002~1000
47,105,21~50,20022~15|10002~800
48,105,51~100,20021~10|10002~500
49,105,101~200,20021~10|10002~300
50,105,201~500,20021~5|10002~100
51,105,0~0,10002~50
52,106,1~1,10009~2000|10002~2000
53,106,2~2,10009~1800|10002~1800
54,106,3~3,10009~1500|10002~1500
55,106,4~10,10009~1200|10002~1200
56,106,11~20,10009~1000|10002~1000
57,106,21~50,10009~800|10002~800
58,106,51~100,10009~500|10002~500
59,106,101~200,10009~300|10002~300
60,106,201~500,10009~100|10002~100
61,106,0~0,10009~50
62,107,1~1,49004~3|10002~2000
63,107,2~2,49004~2|10002~1800
64,107,3~3,49004~1|10002~1500
65,107,4~10,49003~2|10002~1200
66,107,11~20,49003~2|10002~1000
67,107,21~50,49003~2|10002~800
68,107,51~100,49002~2|10002~500
69,107,101~200,49002~2|10002~300
70,107,201~500,49002~1|10002~100
71,107,0~0,10002~50
