confGrp,type,txt_MainTitle,txt_btnTitle,desireHero,upHero,upTimes,diamCnt,diamCost,cost,discount,costFreeTime
int32,int32,string,string,[]{int32 hero;int32 weight},[]{int32 hero;int32 weight},int32,int32,int32,[]{int32 id;int32 n},float,int32
1,1,心愿召唤,心愿召唤,30319~1|30470~7|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
2,1,心愿召唤,心愿召唤,30324~7|30345~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
3,1,心愿召唤,心愿召唤,30175~1|30341~7|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
4,1,心愿召唤,心愿召唤,30445~7|30214~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
5,1,心愿召唤,心愿召唤,30448~1|30344~1|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
6,1,心愿召唤,心愿召唤,30323~1|30468~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
7,1,心愿召唤,心愿召唤,30319~1|30470~7|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
8,1,心愿召唤,心愿召唤,30324~7|30345~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
9,1,心愿召唤,心愿召唤,30175~1|30341~7|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
10,1,心愿召唤,心愿召唤,30445~7|30214~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
11,1,心愿召唤,心愿召唤,30448~1|30344~1|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
12,1,心愿召唤,心愿召唤,30323~1|30468~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
21,1,心愿召唤,心愿召唤,30319~1|30345~1|30256~7|30300~7|30022~7,30019~30|30020~30|30024~30|30235~30|30058~30|30060~30|30062~30|30136~30|30140~30|30142~30,50,99999,500,20004~1,1,86400
22,1,心愿召唤,心愿召唤,30175~1|30214~1|30260~7|30138~7|30236~7,30021~30|30023~30|30025~30|30059~30|30061~30|30063~30|30064~30|30137~30|30141~30|30301~30,50,99999,500,20004~1,1,86400
