id,rankRange,dailyMailItem,weekMailItem
int32,[]{int32 up;int32 down},[]{int32 id;int32 n},[]{int32 id;int32 n}
1,1~1,10002~100|10011~150,10002~600|10011~2000
2,2~2,10002~90|10011~130,10002~550|10011~1800
3,3~3,10002~80|10011~115,10002~500|10011~1600
4,4~4,10002~75|10011~100,10002~450|10011~1500
5,5~5,10002~65|10011~95,10002~400|10011~1400
6,6~10,10002~60|10011~90,10002~350|10011~1300
7,11~20,10002~55|10011~85,10002~300|10011~1200
8,21~50,10002~50|10011~80,10002~250|10011~1100
9,51~100,10002~45|10011~75,10002~200|10011~1000
10,101~200,10002~40|10011~60,10002~150|10011~800
11,201~500,10002~30|10011~40,10002~100|10011~600
12,501~1000,10002~20|10011~20,10002~50|10011~400
13,1001~100000,10002~10|10011~10,10002~25|10011~200
