attainId,cond,p1,txt_Des
int32,int32,int32,string
1000,102,,
1001,203,,
1004,4,-1,累计完成酒馆派遣
1018,1,,累计登录
1019,101,,玩家等级
1020,10,5,获得5星英雄
1021,10,4,获得4星英雄
1022,10,3,获得3星英雄
1023,10,-1,获得任意英雄
1024,3,,累计赠送体力
1025,8,,累计领取挂机奖励
1026,203,,竞技场排名成就
1027,204,,竞技场积分成就
1028,201,,主线通关
1029,11,30,基础召唤
1030,11,31,高级召唤
1031,11,-1,累计召唤
1032,105,,分解英雄
1033,102,,最大战力
1034,12,,累计点金
1035,9,2,普通轮盘累计
1036,11,32,异龙水晶召唤
1037,5,100,珍宝商店交易
1038,15,,累计添加好友
1039,205,,试炼之塔通过
1040,7,,装备合成次数
1041,4,3,3星酒馆派遣个数
1061,106,30,30级英雄个数
1062,106,60,60级英雄个数
1063,106,70,70级英雄个数
1064,106,80,80级英雄个数
1065,106,90,90级英雄个数
1071,107,,英雄重生次数
1081,108,,升级饰品次数
1301,13,,完成日常个数
1401,14,,累计充值
1701,17,-1,排行榜点赞次数
1801,18,5,召唤5星英雄
1802,18,4,召唤4星英雄
1803,18,3,召唤3星英雄
1901,19,-1,累计获得神器数量
1902,19,1,累计获得白色神器数量
2071,207,,竞技场战斗
2081,208,,公会副本挑战
2091,209,,英灵试炼战斗
2120,212,-1,任意裂隙怪物
2121,212,1,晶体甲虫
2122,212,2,绿魂精灵
2123,212,3,熔铁卫士
2130,213,-1,占领任意矿产
2140,214,-1,收获任意矿产
3001,30,1,今日福利
3002,30,2,冲刺任务
3003,30,3,提升目标
3031,303,,公会助力次数
3061,306,,加入公会次数
3071,307,,公会签到次数
10640,106,40,40级英雄
10620,106,20,20级英雄
10650,106,50,50级英雄
100603,6,1003,邀请好友分享次数
106100,106,100,100级英雄
106110,106,110,110级英雄
106120,106,120,120级英雄
106130,106,130,130级英雄
106140,106,140,140级英雄
106150,106,150,150级英雄
106160,106,160,160级英雄
106170,106,170,170级英雄
106180,106,180,180级英雄
