id,price
int32,[]{int32 id;double n}
10001,10000~1|10002~0.00033
10002,10000~1|10002~1|10008~800
10003,10000~1
10004,10000~1
10005,10000~1|10001~3|10002~0.001
10006,10000~1|10001~3000|10002~1
10007,10000~1|10002~5
10008,10000~1
10009,10000~1|10008~160
10010,10000~1|10002~0.6|10008~160|10011~1.08
10011,10000~1|10002~0.66667|10008~160
10012,10000~1|10002~0.25|10008~160
10013,10000~1|10002~0.01|10008~160
10027,10000~1|10008~160
10028,10000~1
20001,10000~1|10001~150000|10002~50|10008~160
20002,10000~1|10002~300
20003,10000~1|10002~2000|10012~9600
20004,10000~1
20010,10000~1
20011,10000~1|10001~75000|10002~25
20012,10000~1|10001~150000|10002~50
20013,10000~1|10002~300
20014,10000~1|10027~20
20021,10000~1|10002~146|10027~1.752|10028~1752
20022,10000~1|10002~158|10027~1.896|10028~1896
20023,10000~1|10002~179|10027~2.148|10028~2148
20024,10000~1|10002~284|10027~3.408|10028~3408
20025,10000~1|10002~508|10027~6.096|10028~6096
20026,10000~1|10002~964|10027~11.568|10028~11568
20027,10000~1|10002~1628|10027~19.536|10028~19536
20030,10000~1|10008~10000
20031,10000~1|10008~10000
20032,10000~1
20033,10000~1
20034,10000~1
20041,10000~1|10001~171000|10002~57|10008~160
20042,10000~1|10001~345000|10002~115|10008~160
20043,10000~1|10001~867000|10002~289|10008~160
20044,10000~1|10001~1737000|10002~579|10008~10000
20045,10000~1|10001~3303000|10002~1101|10008~10000
20047,10000~1|10001~8520000|10002~2840|10008~10000
20050,10000~1|10001~24693000|10002~8231|10008~10000
20201,
20202,
20203,
20204,
23001,10000~1|10002~228|10008~1000|10012~912
23002,10000~1|10002~460|10012~1840
23003,10000~1|10002~1156|10012~4624
23004,10000~1|10002~2316|10012~9264
23005,10000~1|10002~4404|10012~17616
23006,10000~1|10002~7416|10012~29664
23007,10000~1|10002~11360|10012~45440
23008,10000~1|10002~16924|10012~67696
23009,10000~1|10002~24112|10012~96448
23010,10000~1|10002~32924|10012~131696
23011,10000~1|10002~44516|10012~178064
23012,10000~1|10002~58892|10012~235568
23013,10000~1|10002~76052|10012~304208
23014,10000~1|10002~97844|10012~391376
23015,10000~1|10002~124280|10012~497120
23016,10000~1|10002~155348|10012~621392
23017,10000~1|10002~191056|10012~764224
23018,10000~1|10002~231400|10012~925600
20101,10000~1|10001~90000|10002~30
20102,10000~1|10001~600000|10002~200
20900,10000~1
20901,10000~1
20902,10000~1
21031,10000~1|10001~30000|10002~10|10009~100|10011~15|10027~0.1|10012~40
21032,10000~1|10001~30000|10002~10|10008~160|10009~100|10011~15|10027~0.1|10012~40
21033,10000~1|10001~30000|10002~10|10008~160|10009~100|10011~15|10027~0.1|10012~40
21035,10000~1|10001~30000|10002~10|10009~100|10011~15|10027~0.1|10012~40
21036,10000~1|10001~49500|10002~15|10008~160|10009~150|10011~22.5|10027~0.15|10012~60
21037,10000~1|10001~49500|10002~15|10008~160|10009~150|10011~22.5|10027~0.15|10012~60
21038,10000~1|10001~49500|10002~15|10009~150|10011~22.5|10027~0.15|10012~60
21041,10000~1|10001~90000|10002~30|10009~300|10011~45|10027~0.3|10012~120
21042,10000~1|10001~90000|10002~30|10009~300|10011~45|10027~0.3|10012~120
21043,10000~1|10001~90000|10002~30|10009~300|10011~45|10027~0.3|10012~120
