id,txt_Name,txt_Desc,icon,group,overlap,priority,round,buffType,dispel,attribute,func,controlType,deathDrop,noFollow,activeJson,activeName,heroAct,persistJson,position
int32,string,string,string,int32,int32,int32,int32,[]int32,int32,[]{int32 id;double val},string,[]int32,int32,int32,string,string,string,string,string
100,控制效果,控制效果包括眩晕、禁锢、沉默,,100,1,10,1,,,,,,,,,,,,
1000,眩晕,眩晕，无法行动,buff_vertigo,1000,1,10,1,2|20|201,1,,,1|2,1,,,,,sp_stun,p_h
1001,眩晕,眩晕，无法行动,buff_vertigo,1000,1,20,2,2|20|201,1,,,1|2,1,,,,,sp_stun,p_h
1010,沉默,沉默，无法释放技能,buff_silent,1010,1,10,1,2|20|202,1,,,2,1,,,,,sp_bf_last_down_gene,p_h
1011,沉默,沉默，无法释放技能,buff_silent,1010,1,20,2,2|20|202,1,,,2,1,,,,,sp_bf_last_down_gene,p_h
1015,禁魔,禁魔，无法回复能量,buff_checkAnger,1015,1,10,1,2|20|206,1,26~-1,,,1,,,,,sp_bf_last_silence,scale
1016,禁魔,禁魔，无法回复能量,buff_checkAnger,1015,1,20,2,2|20|206,1,26~-1,,,1,,,,,sp_bf_last_silence,scale
1020,混乱,混乱，行动时敌我目标调换,buff_confusion,1020,1,10,1,2|20|205,1,,buff_confusion,,1,,,,,sp_debuff_hit_chaos,p_h
1021,混乱,混乱，行动时敌我目标调换,buff_confusion,1020,1,20,2,2|20|205,1,,buff_confusion,,1,,,,,sp_debuff_hit_chaos,p_h
1030,无敌,无敌，免疫所有伤害,buff_invincible,1030,1,10,1,1|50,1,,buff_invincible,,1,,,,,sp_gn_icon_full_artifact,scale
1031,无敌,无敌，免疫所有伤害,buff_invincible,1030,1,20,2,1|50,1,,buff_invincible,,1,,,,,sp_gn_icon_full_artifact,scale
1040,冰冻,冰冻，无法行动,buff_frozen,1040,1,10,1,2|20|207,1,,,1|2,1,,,,,sp_bf_end_freeze,p_s
1041,冰冻,冰冻，无法行动,buff_frozen,1040,1,20,2,2|20|207,1,,,1|2,1,,,,,sp_bf_end_freeze,p_s
1050,石化,石化，无法行动,buff_stone,1050,1,10,1,2|20|208,1,,,1|2,1,,,,,sp_bf_end_petrify,p_s
1051,石化,石化，无法行动,buff_stone,1050,1,20,2,2|20|208,1,,,1|2,1,,,,,sp_bf_end_petrify,p_s
1060,麻痹,麻痹，无法行动,buff_palsy,1060,1,10,1,2|20|209,1,,,1|2,1,,,,,sp_paralysis,p_s
1061,麻痹,麻痹，无法行动,buff_palsy,1060,1,20,2,2|20|209,1,,,1|2,1,,,,,sp_paralysis,p_s
1100,中毒,中毒，每回合受到施法者攻击30%的伤害,buff_poison,1100,10,10,3,2|10|104,1,,buff_dot~1~originAtk~3~0.3,,1,,,,,sp_bf_last_poison,p_h
1101,永久中毒,中毒，每回合受到施法者攻击30%的伤害,buff_poison,1100,10,10,9999,2|10|104,1,,buff_dot~1~originAtk~3~0.3,,1,,,,,sp_bf_last_poison,p_h
1200,燃烧,燃烧，每回合受到施法者攻击25%的伤害,buff_burn,1200,10,10,3,2|10|102,1,,buff_dot~1~originAtk~3~0.25,,1,,,,,sp_bf_last_burn,p_h
1201,永久燃烧,燃烧，每回合受到施法者攻击25%的伤害,buff_burn,1200,10,10,9999,2|10|102,1,,buff_dot~1~originAtk~3~0.25,,1,,,,,sp_bf_last_burn,p_h
1300,流血,流血每回合受到施法者攻击35%的伤害,buff_bleed,1300,10,10,3,2|10|103,1,,buff_dot~1~originAtk~3~0.35,,1,,,,,sp_bloodexplore,p_h
1301,永久流血,流血每回合受到施法者攻击35%的伤害,buff_bleed,1300,10,10,9999,2|10|103,1,,buff_dot~1~originAtk~3~0.35,,1,,,,,sp_bloodexplore,p_h
1400,寒霜,寒霜，每回合受到施法者攻击35%的伤害,buff_frost,1400,10,10,3,2|10|105,1,,buff_dot~1~originAtk~3~0.35,,1,,,,,sp_cr_h_ovelia_5,p_h
11001,攻击提升1,攻击+5%,,11001,1,10,9999,1|30|301,,1000~0.05,,,,,,,,,
11002,攻击提升2,攻击+7%,,11002,1,10,9999,1|30|301,,1000~0.07,,,,,,,,,
11003,攻击提升3,攻击+9%,,11003,1,10,9999,1|30|301,,1000~0.09,,,,,,,,,
11004,攻击提升4,攻击+11%,,11004,1,10,9999,1|30|301,,1000~0.11,,,,,,,,,
11005,攻击提升5,攻击+13%,,11005,1,10,9999,1|30|301,,1000~0.13,,,,,,,,,
11006,攻击提升6,攻击+15%,,11006,1,10,9999,1|30|301,,1000~0.15,,,,,,,,,
11201,防御提升1,防御+5%,,11201,1,10,9999,1|30|301,,1200~0.05,,,,,,,,,
11202,防御提升2,防御+7%,,11202,1,10,9999,1|30|301,,1200~0.07,,,,,,,,,
11203,防御提升3,防御+9%,,11203,1,10,9999,1|30|301,,1200~0.09,,,,,,,,,
