id,txt_Name,type,recover,des,icon,color,decorate,errorcode,buyId,buyN,opCost
int32,string,int32,[]{int32 sec;int32 n},string,string,int32,int32,string,int32,int64,[]{int32 id;int64 n}
1000001,快速挂机次数,3,,,,,,,,,10002~0|10002~50|10002~50|10002~100|10002~100|10002~150|10002~200
1000002,酒馆派遣任务数,0,,,,,,,,,
1000003,试炼之塔行动点购买次数,0,,,,,,,,,10002~50
1100003,试炼之塔行动点,2,7200~1,,action_1,,,,1000003,1,
1000004,英雄背包扩量次数,0,,,,,,,,,10002~50|10002~100|10002~150|10002~200|10002~250|10002~300|10002~350|10002~400|10002~450|10002~500|10002~550|10002~600|10002~650|10002~700|10002~750|10002~800|10002~850|10002~900|10002~950||10002~1000
1000005,英雄背包初始容量数,0,,,,,,,1000004,,
1000006,体力购买次数,3,,,,,,体力购买次数不足,,,10002~25|10002~50|10002~50|10002~100|10002~100|10002~200|10002~400|10002~600|10002~800|10002~1000
1100006,体力,2,300~1,,tili,,,,1000006,50,
1000007,点金手次数,3,,,,,,,,,10002~0|10002~20|10002~20|10002~50|10002~50|10002~50|10002~50|10002~50|10002~100
1000008,钻石商铺免费刷新次数,3,,,,,,,,,10002~0
1000009,幸运商铺免费刷新次数,3,,,,,,,,,10002~0
1000010,挂机额外时间上限,0,,,,,,,,,
1000011,挂机额外金币、战魂、进阶石收益,0,,,,,,,,,
1000012,自动推图次数,3,,,,,,,,,10002~0|10002~0|10002~50|10002~150|10002~300|10002~600
1000013,普通召唤每日免费恢复上限,3,,,,,,,,,
1000101,公会-祈愿助力次数,3,,,,,,,,,10002~0|10002~0|10002~25|10002~50|10002~50|10002~75|10002~100
1000102,公会-科技重置次数,0,,,,,,,,,10002~0|10002~25|10002~50|10002~100
1000103,公会-boss挑战次数,3,,,,,,,,,10002~0|10002~0|10002~40|10002~80|10002~120|10002~150
1000104,公会-公会战每日挑战次数,3,,,,,,,,,10002~0|10002~0|10002~20|10002~50|10002~50|10002~100
1000201,推图榜本服每日膜拜次数,3,,,,,,,,,
1000202,爬塔榜本服每日膜拜次数,3,,,,,,,,,
1000301,世界boss挑战购买次数,3,,,,,,购买次数已达上限,,,10002~25|10002~50|10002~50|10002~50|10002~100|10002~100|10002~200|10002~200|10002~500|10002~500|10002~1000
1100301,世界boss挑战次数,3,,,,,,,1000301,1,
1000311,迷宫体力购买次数,3,,,,,,购买次数已达上限,,,10002~50|10002~50|10002~50|10002~100|10002~150|10002~200|10002~300|10002~400|10002~600|10002~800
1100311,迷宫体力,2,360~1,,,,,,1000311,50,
1000312,迷宫生命购买次数,3,,,,,,购买次数已达上限,,,10002~100|10002~100|10002~100|10002~150|10002~200|10002~250|10002~350|10002~450|10002~650|10002~850
1100312,迷宫生命,1,,,,,,,1000312,10,
