id,reward,chest,roundType
int32,[]{int32 low;int32 high;int32 id;int32 n},[]{int32 id;int32 n},int32
1,1~60~10010~30|1~60~10001~9000|61~80~10010~35|61~80~10001~16000|81~999~10010~45|81~999~10001~18000,,1
2,1~60~10010~40|1~60~10001~9000|61~80~10010~50|61~80~10001~17000|81~999~10010~65|81~999~10001~19000,,1
3,1~60~10010~55|1~60~10001~10000|61~80~10010~65|61~80~10001~18000|81~999~10010~80|81~999~10001~21000,10002~20|10010~330,1
4,1~60~10010~70|1~60~10001~11000|61~80~10010~85|61~80~10001~19000|81~999~10010~105|81~999~10001~22000,,1
5,1~60~10010~85|1~60~10001~11000|61~80~10010~105|61~80~10001~20000|81~999~10010~130|81~999~10001~23000,,1
6,1~60~10010~100|1~60~10001~12000|61~80~10010~120|61~80~10001~21000|81~999~10010~150|81~999~10001~24000,10002~30|10010~500,1
7,1~60~10010~120|1~60~10001~12000|61~80~10010~145|61~80~10001~22000|81~999~10010~180|81~999~10001~25000,,1
8,1~60~10010~140|1~60~10001~13000|61~80~10010~165|61~80~10001~23000|81~999~10010~210|81~999~10001~26000,,1
9,1~60~10010~155|1~60~10001~13000|61~80~10010~190|61~80~10001~24000|81~999~10010~235|81~999~10001~27000,10002~50|10010~660,1
10,1~60~10010~180|1~60~10001~14000|61~80~10010~215|61~80~10001~25000|81~999~10010~270|81~999~10001~28000,,1
11,1~60~10010~200|1~60~10001~15000|61~80~10010~240|61~80~10001~26000|81~999~10010~300|81~999~10001~30000,,1
12,1~60~10010~220|1~60~10001~15000|61~80~10010~270|61~80~10001~27000|81~999~10010~335|81~999~10001~31000,10002~70|10010~1000,1
13,1~60~10010~245|1~60~10001~16000|61~80~10010~300|61~80~10001~28000|81~999~10010~375|81~999~10001~32000,,1
14,1~60~10010~270|1~60~10001~16000|61~80~10010~330|61~80~10001~29000|81~999~10010~410|81~999~10001~33000,,1
15,1~60~10010~295|1~60~10001~17000|61~80~10010~360|61~80~10001~30000|81~999~10010~450|81~999~10001~34000,10002~110|10010~1500,1
