id,txt_Name,icon,color,decorate,txt_Des,txt_FromDes,txt_Errorcode,source,sequence
int32,string,string,int32,[]int32,string,string,string,[]{int32 sourceId;int32 btn},int32
10001,金币,currency_1,3,,用于购买道具，升级英雄的货币，用途广泛,来源：点金、空间裂隙,金币不足,1055~1|1090~1,120
10002,钻石,currency_2,5,1,购买稀有道具时使用的货币,来源：成长之路、限时礼包、空间裂隙,钻石不足,1105~1|1070~1|1090~1,120
10003,主角经验,currency_3,3,,提升主角等级的必要材料,来源：挂机奖励,主角经验不足,,120
10004,爱心,currency_4,4,,好友赠送的资源，可通过好友赠送获得,,爱心不足,,120
10005,战魂,currency_100,3,,升级英雄时的必要资源,来源：限时礼包、挂机奖励、空间裂隙、珍宝商店,战魂不足,1070~1|30~1|1090~1|1901,120
10006,进阶石,currency_101,4,,进阶英雄时的必须资源,来源：珍宝商店、试炼之塔、空间裂隙,进阶石不足,10004001~2|1040~1|1090~1,120
10007,龙魂,currency_5,4,,用于异龙水晶中置换英雄,来源：异龙水晶召唤,龙魂不足,1005~1,120
10008,幸运币,currency_6,3,,幸运商店中使用的货币,来源：轮盘抽取,幸运币不足,1025~1,120
10009,公会币,currency_7,3,,在公会系统中使用的货币,来源：公会副本、公会港口,公会币不足,50~1,120
10010,源晶,currency_102,3,,用于饰品转换和升级的材料,来源：英灵试炼,源晶不足,1045~1,120
10011,竞技币,currency_9,3,,竞技商店中使用的货币,来源：竞技场奖励,竞技币不足,1035~1,120
10012,天梯币,currency_12,3,,天梯商店中使用的货币,来源：烈焰天梯,天梯币不足,,120
10013,英魂,currency_10,3,,分解英雄时获得的道具，能兑换强力英雄,来源：分解英雄,英魂不足,1010~1,120
10014,竞猜积分,currency_13,4,,用于勇气斗技场比赛投票,,竞猜积分不足,,120
10015,vip经验,currency_5,5,,提升VIP等级的必要材料,,vip经验不足,,120
10027,萌萌币,currency_11,6,2,萌萌商店中使用的货币,来源：活动获得,萌萌币不足,,120
10028,封印币,currency_14,3,,封印商店中使用的货币,来源：魔王封印,封印币不足,,120
10101,迷宫体力,sp_1,3,,用于参与迷宫探宝活动,来源：迷宫探宝,迷宫体力不足,,120
10102,迷宫生命,blood_1,3,,用于参与迷宫探宝活动,来源：迷宫探宝,迷宫生命不足,,120
