Id,dialog
int32,string
10,亲爱的勇者，欢迎来到水晶大陆
20,这里是召唤法阵，在这里可以召唤强力的英雄
30,基础召唤可以召唤出品质较低的英雄，需要消耗召唤水晶
40,高级召唤可以召唤出品质高的英雄，需要消耗高级召唤水晶
50,点击关卡按钮，可以前往战斗区域，接下来就一起去战斗吧
60,首先，选择出战英雄
70,准备就绪，让我们开启第一场战斗吧！
80,英雄碎片！获取英雄除了召唤，还可以通过碎片合成。接下来让我们去合成英雄吧
90,碎片达到指定数量，即可召唤该英雄
100,有新伙伴加入了！一起去战斗吧
110,点击英雄头像，选择出战英雄
120,点击宝箱可以领取挂机战利品，时间越长战利品越丰富
130,冒险之旅离不开强大的英雄，让我们学习如何养成英雄吧
140,战魂足够时，点击此处升级英雄
150,升级后的英雄更强大了！接下来我们给英雄穿戴装备
160,点击一键穿戴，自动给英雄穿戴上最强的装备
170,现在继续我们的冒险
180,点击这里，领取在线奖励
190,前面就是首领关卡了，击败首领可以获得丰厚奖励！
200,干的漂亮！今后请继续努力，成为强大的勇者吧！
1010,这里可以调节战斗的节奏，让我们加快一下速度吧
1110,看，成长之路开启了！变强更有目标了！
1120,完成目标，获得丰厚的成长资源~
1130,达成关卡目标，还能获得大量钻石哦！
1210,空间裂隙出现了！我们快去探索吧！
1220,这里可以获得大量英雄养成资源，并且可以占领晶矿，领取钻石！
1310,是不是感觉缺少进阶石，有个地方会产出不少进阶石，随我来。
1320,挑战试炼之塔，能获得进阶石和装备，层数越高奖励越好。
1330,哦对了，每天记得扫荡一次，领取额外奖励。
1410,成长之路，一个人的力量是不够的。你需要与其他玩家一起，共同协作发展。
1420,创建或加入一个公会吧，打造一个强大的集体力量，可以获得更多的资源。
1510,空闲的英雄有点多？别担心，有个地方可以让他们都动起来。
1520,这里是酒馆，一定时间就会刷新一些任务，让英雄完成就会得到收益。
1530,酒馆任务星级越高，奖励越好。现在赶紧把空闲英雄派遣出去，获取收益吧。
1610,伟大的勇者，你的能力现在足够前往竞技场，去赢取属于你的荣耀了。
1620,在竞技场，是与其他玩家同台竞技的地方，让我们进入这个荣耀之地吧。
1630,挑战其他玩家，赢取积分，每天会根据大家的排名发放奖励。试试看吧。
1710,伟大的试炼，铸就伟大的英灵，传说中的英灵试炼已开启。
1720,这里是英灵试炼，只有强大的英雄才能进入。
1730,试炼总共15关，这里英雄会被记录血量，战败后不可复活，合理搭配英雄是制胜的关键。
1810,推图十连开启了，快去看看吧
1820,先试试抽取一次十连奖励吧！
1830,还有两次抽取机会，再试试吧，完成目标即可获得奖励！
1910,失败了不要气馁！这些途径可以使英雄变强，来试试吧！
1920,穿戴装备也能大幅提升英雄实力
2010,七日登录开启了，我们快去看看吧
2020,明日还可领取“雷系超强坦克——翔空”哦~
2030,“翔空”拥有超强的嘲讽能力，英雄“雷吼”的好机友哦~
2110,七日目标开启了！超多的资源奖励在等着我们！
2120,每日任务解锁后，完成任务可领取丰厚奖励
2130,这里每日都有超值半价好礼，不容错过哦~
