Id,drawGroup,item,probability
int32,string,[]{int32 id;int32 n},float
1,normal,30001~1,
2,normal,30042~1,
3,normal,30119~1,
4,normal,30004~1,
5,normal,30005~1,
6,normal,30043~1,
7,normal,30046~1,
8,normal,30123~1,
9,normal,30124~1,
10,normal,30009~1,
11,normal,30010~1,
12,normal,30011~1,
13,normal,30047~1,
14,normal,30048~1,
15,normal,30051~1,
16,normal,30125~1,
17,normal,30126~1,
18,normal,30129~1,
19,normal,30164~1,
20,normal,30167~1,
21,normal,30206~1,
22,normal,30207~1,
23,normal,30014~1,
24,normal,30015~1,
25,normal,30016~1,
26,normal,30018~1,
27,normal,30052~1,
28,normal,30053~1,
29,normal,30054~1,
30,normal,30056~1,
31,normal,30130~1,
32,normal,30131~1,
33,normal,30133~1,
34,normal,30134~1,
35,normal,30169~1,
36,normal,30170~1,
37,normal,30171~1,
38,normal,30208~1,
39,normal,30209~1,
40,normal,30213~1,
41,normal,30019~1,
42,normal,30020~1,
43,normal,30021~1,
44,normal,30023~1,
45,normal,30024~1,
46,normal,30025~1,
47,normal,30059~1,
48,normal,30060~1,
49,normal,30061~1,
50,normal,30062~1,
51,normal,30063~1,
52,normal,30064~1,
53,normal,30136~1,
54,normal,30137~1,
55,normal,30140~1,
56,normal,30141~1,
57,normal,30142~1,
58,normal,30301~1,
59,normal,30235~1,
60,normal,30058~1,
61,senior,30009~1,
62,senior,30010~1,
63,senior,30011~1,
64,senior,30047~1,
65,senior,30048~1,
66,senior,30051~1,
67,senior,30125~1,
68,senior,30126~1,
69,senior,30129~1,
70,senior,30164~1,
71,senior,30167~1,
72,senior,30206~1,
73,senior,30207~1,
74,senior,30014~1,
75,senior,30015~1,
76,senior,30016~1,
77,senior,30018~1,
78,senior,30052~1,
79,senior,30053~1,
80,senior,30054~1,
81,senior,30056~1,
82,senior,30130~1,
83,senior,30131~1,
84,senior,30133~1,
85,senior,30134~1,
86,senior,30169~1,
87,senior,30170~1,
88,senior,30171~1,
89,senior,30208~1,
90,senior,30209~1,
91,senior,30213~1,
92,senior,30019~1,
93,senior,30020~1,
94,senior,30021~1,
95,senior,30023~1,
96,senior,30024~1,
97,senior,30025~1,
98,senior,30059~1,
99,senior,30060~1,
100,senior,30061~1,
101,senior,30062~1,
102,senior,30063~1,
103,senior,30064~1,
104,senior,30136~1,
105,senior,30137~1,
106,senior,30140~1,
107,senior,30141~1,
108,senior,30142~1,
109,senior,30301~1,
110,senior,30022~1,
111,senior,30235~1,
112,senior,30236~1,
113,senior,30058~1,
114,senior,30256~1,
115,senior,30260~1,
116,senior,30138~1,
117,senior,30300~1,
118,water,30014~1|10007~20,
119,water,30015~1|10007~20,
120,water,30016~1|10007~20,
121,water,30018~1|10007~20,
122,water,30019~1|10007~20,
123,water,30020~1|10007~20,
124,water,30021~1|10007~20,
125,water,30023~1|10007~20,
126,water,30024~1|10007~20,
127,water,30025~1|10007~20,
128,water,30022~1|10007~20,
129,water,30235~1|10007~20,
130,water,30236~1|10007~20,
131,water,21052~8|10007~20,
132,water,21052~10|10007~20,
133,water,21052~12|10007~20,
134,thunder,30052~1|10007~20,
135,thunder,30053~1|10007~20,
136,thunder,30054~1|10007~20,
137,thunder,30056~1|10007~20,
138,thunder,30059~1|10007~20,
139,thunder,30060~1|10007~20,
140,thunder,30061~1|10007~20,
141,thunder,30062~1|10007~20,
142,thunder,30063~1|10007~20,
143,thunder,30064~1|10007~20,
144,thunder,30058~1|10007~20,
145,thunder,30256~1|10007~20,
146,thunder,30260~1|10007~20,
147,thunder,21053~8|10007~20,
148,thunder,21053~10|10007~20,
149,thunder,21053~12|10007~20,
150,fire,30130~1|10007~20,
151,fire,30131~1|10007~20,
152,fire,30133~1|10007~20,
153,fire,30134~1|10007~20,
154,fire,30136~1|10007~20,
155,fire,30137~1|10007~20,
156,fire,30140~1|10007~20,
157,fire,30141~1|10007~20,
158,fire,30142~1|10007~20,
159,fire,30301~1|10007~20,
160,fire,30138~1|10007~20,
161,fire,30300~1|10007~20,
162,fire,21055~8|10007~20,
163,fire,21055~10|10007~20,
164,fire,21055~12|10007~20,
165,blend,30169~1|10007~20,
166,blend,30170~1|10007~20,
167,blend,30171~1|10007~20,
168,blend,30177~1|10007~20,
169,blend,30180~1|10007~20,
170,blend,30175~1|10007~20,
171,blend,30178~1|10007~20,
172,blend,30319~1|10007~20,
173,blend,30321~1|10007~20,
174,blend,30323~1|10007~20,
175,blend,30324~1|10007~20,
176,blend,30445~1|10007~20,
177,blend,30448~1|10007~20,
178,blend,30208~1|10007~20,
179,blend,30209~1|10007~20,
180,blend,30213~1|10007~20,
181,blend,30217~1|10007~20,
