id,tab,shopId,index,txt_Name,hot,status,reward,buyCntLimit,payId,reset
int32,int32,int32,int32,string,int32,[]{int32 statusId;double val},[]{int32 id;int64 n},int32,int32,int32
2001,2,2000,1,每日免费礼包,,,20001~2,1,,1
2002,2,2000,2,每日特惠礼包,,,10002~20|10005~200000|10006~100,1,5001,1
2003,2,2000,3,每日召唤礼包,,,10002~60|20002~1|21051~10,1,5006,1
2004,2,2000,4,每日金币特惠,,,10002~120|10001~3600000,1,5012,1
2005,2,2000,5,每日战魂特惠,,,10002~120|10005~1200000,1,5012,1
2006,2,2000,6,每日高级水晶,,,10002~300|20002~10,1,5030,1
4001,3,4000,1,每周免费礼包,,,20012~1,1,,2
4002,3,4000,2,每周源晶礼包,,,10002~300|10001~500000|10010~5000,1,5030,2
4003,3,4000,3,每周继承礼包,,,10002~980|20014~1,1,5098,2
4004,3,4000,4,每周进阶礼包,,,10002~1980|10006~5000,1,5198,2
6001,4,6000,1,每月免费礼包,,,20102~1,1,,3
6002,4,6000,2,每月召唤礼包,,,10002~980|20002~30|20003~2,1,5098,3
6003,4,6000,3,每月光系礼包,,,10002~6480|20003~16|21056~50,1,5648,3
6004,4,6000,4,每月暗系礼包,,,10002~6480|20003~16|21057~50,1,5648,3
