num,monster,power,roundType,challengeReward,killReward
int32,[]{int32 id;int32 lv},int32,int32,[]{int32 id;int32 n},[]{int32 a;int32 b;int32 id;int32 n}
1,33001~100,1,0,10001~5000|10009~10,1~1~10001~50000|1~1~10009~300|2~2~10001~47000|2~2~10009~280|3~3~10001~42000|3~3~10009~250|4~10~10001~32000|4~10~10009~190|11~15~10001~25000|11~15~10009~150|16~20~10001~20000|16~20~10009~120|21~100~10001~15000|21~100~10009~90
2,33002~105,1,0,10001~6000|10009~12,1~1~10001~60000|1~1~10009~500|2~2~10001~56000|2~2~10009~470|3~3~10001~51000|3~3~10009~420|4~10~10001~39000|4~10~10009~320|11~15~10001~30000|11~15~10009~250|16~20~10001~24000|16~20~10009~200|21~100~10001~18000|21~100~10009~150
3,33003~110,1,0,10001~7000|10009~14,1~1~10001~70000|1~1~10009~700|2~2~10001~65000|2~2~10009~650|3~3~10001~59000|3~3~10009~590|4~10~10001~45000|4~10~10009~450|11~15~10001~35000|11~15~10009~350|16~20~10001~28000|16~20~10009~280|21~100~10001~21000|21~100~10009~210
4,33004~115,1,0,10001~8000|10009~16,1~1~10001~80000|1~1~10009~900|2~2~10001~75000|2~2~10009~840|3~3~10001~68000|3~3~10009~760|4~10~10001~52000|4~10~10009~580|11~15~10001~40000|11~15~10009~450|16~20~10001~32000|16~20~10009~360|21~100~10001~24000|21~100~10009~270
5,33005~120,1,0,10001~9000|10009~18,1~1~10001~90000|1~1~10009~1100|2~2~10001~84000|2~2~10009~1030|3~3~10001~76000|3~3~10009~930|4~10~10001~58000|4~10~10009~710|11~15~10001~45000|11~15~10009~550|16~20~10001~36000|16~20~10009~440|21~100~10001~27000|21~100~10009~330
6,33006~125,1,0,10001~10000|10009~20,1~1~10001~100000|1~1~10009~1300|2~2~10001~94000|2~2~10009~1220|3~3~10001~85000|3~3~10009~1100|4~10~10001~65000|4~10~10009~840|11~15~10001~50000|11~15~10009~650|16~20~10001~40000|16~20~10009~520|21~100~10001~30000|21~100~10009~390
7,33007~130,1,0,10001~11000|10009~22,1~1~10001~110000|1~1~10009~1500|2~2~10001~103000|2~2~10009~1410|3~3~10001~93000|3~3~10009~1270|4~10~10001~71000|4~10~10009~970|11~15~10001~55000|11~15~10009~750|16~20~10001~44000|16~20~10009~600|21~100~10001~33000|21~100~10009~450
8,33008~135,1,0,10001~12000|10009~24,1~1~10001~120000|1~1~10009~1700|2~2~10001~112000|2~2~10009~1590|3~3~10001~102000|3~3~10009~1440|4~10~10001~78000|4~10~10009~1100|11~15~10001~60000|11~15~10009~850|16~20~10001~48000|16~20~10009~680|21~100~10001~36000|21~100~10009~510
9,33009~140,1,0,10001~13000|10009~26,1~1~10001~130000|1~1~10009~1900|2~2~10001~122000|2~2~10009~1780|3~3~10001~110000|3~3~10009~1610|4~10~10001~84000|4~10~10009~1230|11~15~10001~65000|11~15~10009~950|16~20~10001~52000|16~20~10009~760|21~100~10001~39000|21~100~10009~570
10,33010~145,1,0,10001~14000|10009~28,1~1~10001~140000|1~1~10009~2100|2~2~10001~131000|2~2~10009~1970|3~3~10001~119000|3~3~10009~1780|4~10~10001~91000|4~10~10009~1360|11~15~10001~70000|11~15~10009~1050|16~20~10001~56000|16~20~10009~840|21~100~10001~42000|21~100~10009~630
11,33011~150,1,0,10001~15000|10009~30,1~1~10001~150000|1~1~10009~2300|2~2~10001~141000|2~2~10009~2160|3~3~10001~127000|3~3~10009~1950|4~10~10001~97000|4~10~10009~1490|11~15~10001~75000|11~15~10009~1150|16~20~10001~60000|16~20~10009~920|21~100~10001~45000|21~100~10009~690
