key,mailIcon,txt_Title,txt_Text,txt_Send,mailItem
int32,string,string,string,string,[]{int32 Id;int64 n}
1,,测试邮件,尊敬的冒险者，根据今天在排位赛的表现，给您发放如下奖励，望您再接再厉,萌妹儿,10002~100
2,,欢迎进入萌萌战争,致各位亲爱的勇者：\n      首先，非常欢迎大家来到萌萌战争的世界。\n      这是我们第一次登陆微信游戏，有些害羞和紧张，难免出现一些问题，希望大家积极上报，我们会以最快的速度修复。\n      同时，大家不错的建议，我们也会记录下来，用于指导后续的开发内容。\n      欢迎大家关注公众号：mmzzgf。（可以在个人信息——设置——客服中，扫一扫关注）\n      最后，请收下这份礼物，再次感谢。,萌妹儿,10002~100|20002~1
201,,离开公会,您被请离了公会：$gldName,萌妹儿,
202,,公会解散,天下无不散之宴席，您的公会已经解散了,萌妹儿,
300,,宝箱奖励,您开启了空间裂隙的宝箱，奖励请查收~,萌妹儿,
301,,矿产被夺,您在裂隙空间开采的矿产被$player抢夺，赶快回去看看吧。,萌妹儿,
1001,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~100|10011~150
1002,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~90|10011~130
1003,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~80|10011~115
1004,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~75|10011~100
1005,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~65|10011~95
1006,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~60|10011~90
1007,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~55|10011~85
1008,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~50|10011~80
1009,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~45|10011~75
1010,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~40|10011~60
1011,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~30|10011~40
1012,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~20|10011~20
1013,,竞技场每日奖励,您今天在竞技场获得了如下每日奖励,萌妹儿,10002~10|10011~10
1101,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~600|10011~2000
1102,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~550|10011~1800
1103,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~500|10011~1600
1104,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~450|10011~1500
1105,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~400|10011~1400
1106,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~350|10011~1300
1107,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~300|10011~1200
1108,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~250|10011~1100
1109,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~200|10011~1000
1110,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~150|10011~800
1111,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~100|10011~600
1112,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~50|10011~400
1113,,竞技场赛季奖励,您在竞技场获得了如下赛季奖励,萌妹儿,10002~25|10011~200
205,,公会Boss击杀奖励,您的公会经过激烈的战斗击杀了第$num层Boss，您排名第$rank并获得了如下奖励,萌妹儿,
2001,,英灵试炼未领取奖励,您在英灵试炼中经过艰苦的战斗，有如下奖励未领取,萌妹儿,
3001,,VIP等级奖励,您的VIP等级提升了，获得了如下奖励,萌妹儿,
4001,,月卡每日奖励,您购买的超值月卡每日奖励已发放,萌妹儿,
4002,,终身卡每日奖励,您购买的尊享终身卡每日奖励已发放,萌妹儿,
5001,,公会战公会排行奖励,您的公会在公会战中经过艰苦的战斗，获得了如下奖励,萌妹儿,
5002,,公会战个人排行奖励,您在公会战中经过艰苦的战斗，获得了如下奖励,萌妹儿,
5101,,烈焰天梯排行奖励,您在烈焰天梯中经过艰苦的战斗，您排名第$rank并获得了如下奖励,萌妹儿,
5201,,勇气斗技场排行奖励,您在勇气斗技场中经过所向披靡，英勇过人，展现出非凡的战力，最终$cupWarRank，获得了如下奖励,萌妹儿,
5202,,竞猜积分兑换奖励,您在勇气斗技场获得竞猜积分$num，按照比例转换为以下奖励,萌妹儿,
5203,,勇气斗技场预告,亲爱的勇者：\n 新一期的勇气斗技场即将在今日21:00开赛。积分竞技场排名前256名即可参与比赛，所有玩家可参与竞猜玩法，丰厚的奖励等你来拿！,萌妹儿,
5301,,恶魔封印排行奖励,您在恶魔封印中做出了卓越的贡献，最终伤害排名$rank并获得了如下奖励，您的名字将被英雄大陆所传颂,萌妹儿,
5311,,迷宫探宝排行奖励,您在迷宫探宝活动中获得了$score探宝积分，位列排行榜第$rank名，获得了如下奖励：,萌妹儿,
