id,blankId,item,upper
int32,int32,[]{int32 id; int64 n},int32
11001,1,40101~1,1
11002,1,40104~1,1
11003,1,40201~1,1
11004,1,40202~1,1
11005,1,40203~1,1
11006,1,40204~1,1
11007,1,49002~1,1
11008,1,10007~100,
12001,2,21041~30,
12002,2,21042~30,
12003,2,21043~30,
12004,2,21045~30,
12005,2,21047~30,
12006,2,21048~30,
13001,3,21031~20,
13002,3,21032~20,
13003,3,21033~20,
13004,3,21035~20,
13005,3,21036~20,
13006,3,21037~20,
14001,4,23103~1,
14002,4,23203~1,
14003,4,23303~1,
14004,4,23403~1,
15001,5,10006~30,
15002,5,10006~50,
15003,5,10006~100,
15004,5,10006~200,1
15005,5,10010~100,
15006,5,10010~200,
16001,6,23102~1,
16002,6,23202~1,
16003,6,23302~1,
16004,6,23402~1,
16005,6,23102~1,
16006,6,23202~1,
16007,6,23302~1,
16008,6,23402~1,
16009,6,23102~1,
16010,6,23202~1,
16011,6,23302~1,
17001,7,10005~10000,
17002,7,10005~20000,
17003,7,10005~50000,
17004,7,10005~75000,
17005,7,10005~100000,1
18001,8,10001~10000,
18002,8,10001~20000,
18003,8,10001~30000,
18004,8,10001~50000,
18005,8,10001~10000,
18006,8,10001~20000,
18007,8,10001~30000,
18008,8,10001~50000,
18009,8,10001~10000,
18010,8,10001~20000,
21001,1,21052~50,1
21002,1,21053~50,1
21003,1,21055~50,1
21004,1,21056~50,1
21005,1,21057~50,1
21006,1,21052~50,1
22001,2,40301~1,1
22002,2,40302~1,1
22003,2,40303~1,1
22004,2,40304~1,1
22005,2,40305~1,1
22006,2,40306~1,1
22007,2,20024~1,
22008,2,49003~1,
23001,3,21041~30,
23002,3,21042~30,
23003,3,21043~30,
23004,3,21045~30,
23005,3,21047~30,
23006,3,21048~30,
24001,4,10001~500000,
24002,4,10001~750000,
24003,4,10001~1000000,
25001,5,23105~1,
25002,5,23205~1,
25003,5,23305~1,
25004,5,23405~1,
26001,6,20002~1,
26002,6,20003~1,1
27001,7,10006~100,
27002,7,10006~200,
27003,7,10006~300,
27004,7,10006~500,
27005,7,10010~600,
28001,8,23107~1,1
28002,8,23207~1,1
28003,8,23307~1,1
28004,8,23407~1,1
28005,8,23107~1,1
28006,8,23207~1,1
28007,8,23307~1,1
28008,8,23407~1,1
28009,8,23407~1,1
