id,txt_RoleName,txt_Des,star,starLimit,isInherit,fragment,distance,elem,jobId,role,fightScale,ishide,book,bloodType,bloodCount,skillNormal,skills,modifyPower,heroBaseProps,heroPropGrowth,monsterPropsRatio,actSummonCnt
int32,[]string,string,int32,int32,int32,[]{int32 id;int32 n},int32,int32,int32,[]int32,float,int32,[]int32,int32,int32,int32,[]int32,int32,[]{int32 id;float val},[]{int32 id;float val},[]float,int32
30001,粘液怪,单体伤害,1,1,,22001~5,1,1,1,300010,1,,1,0,0,300101,300111,,10~160|12~88|14~2484|15~100|20~0.05|21~1.5|30~1|31~1,10~6.4|12~6.6|14~41.4|15~0,0.8|1.1|1.38|100|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30004,仙人掌,攻击降防,2,2,,22004~10,1,1,1,300040,1,,2,0,0,300401,300411,,10~202|12~109|14~3089|15~101|20~0.05|21~1.5|30~1|31~1,10~8|12~8.2|14~51.4|15~0,0.8|1.1|1.38|101|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30005,泡泡鱼,攻击前排,2,2,,22005~10,1,1,3,300050,1,,2,0,0,300501,300511,,10~318|12~84|14~2405|15~101|20~0.05|21~1.5|30~1|31~1,10~12.7|12~6.3|14~40|15~0,1.25|0.85|1.08|101|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30009,钢牙,增伤,3,3,,22009~20,1,1,1,300090,1,,3,0,0,300901,300911|300921,,10~247|12~130|14~3670|15~102|20~0.05|21~1.5|30~1|31~1,10~9.8|12~9.7|14~61.1|15~0,0.8|1.1|1.38|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30010,骨盔刺客,针对后排,3,3,,22010~20,1,1,2,300100,1,,3,0,0,301001,301011|301021,,10~358|12~105|14~3016|15~103|20~0.05|21~1.5|30~1|31~1,10~14.3|12~7.9|14~50.2|15~0,1.15|0.9|1.14|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30011,鱼人贤者,冰冻,3,3,,22011~20,2,1,3,300110,1,,3,0,0,301101,301111|301121,,10~393|12~99|14~2843|15~102|20~0.05|21~1.5|30~1|31~1,10~15.7|12~7.4|14~47.3|15~0,1.25|0.85|1.08|102|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30014,哥布林盗贼,冰冻、针对后排,4,5,,22014~30,1,1,2,300140,1,,4|5,0,0,301401,301411|301421|301431,,10~460|12~144|14~4104|15~104|20~0.05|21~1.5|30~1|31~1,10~18.4|12~10.8|14~68.4|15~0,1.15|0.9|1.14|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30015,悠闲青蛙,寒霜、针对后排,4,5,,22015~30,1,1,3,300150,1,,4|5,0,0,301501,301511|301521|301531,,10~495|12~136|14~3907|15~103|20~0.05|21~1.5|30~1|31~1,10~19.8|12~10.2|14~65.1|15~0,1.25|0.85|1.08|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30016,莱戈斯,针对后排,4,5,,22016~30,1,1,4,300160,1,,4|5,0,0,301601,301611|301621|301631,,10~470|12~145|14~3926|15~104|20~0.05|21~1.5|30~1|31~1,10~18.8|12~10.9|14~65.4|15~0,1.2|0.9|1.08|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30018,水精灵,治疗,4,5,,22018~30,2,1,5,300180,1,,4|5,0,0,301801,301811|301821|301831,,10~407|12~154|14~4384|15~103|20~0.05|21~1.5|30~1|31~1,10~16.2|12~11.5|14~73|15~0,1.05|0.95|1.2|103|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,
30019,督军潮吼,肉盾、冰冻,5,10,1,22019~50,1,1,1,300190,1,,5|10,0,0,301901,301911|301921|301931|301941,,10~384|12~224|14~6334|15~105|20~0.05|21~1.5|30~1|31~1,10~15.3|12~16.8|14~105.5|15~0,0.8|1.1|1.38|105|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
30020,海潮公主,寒霜、寒霜增伤,5,10,1,22020~50,2,1,2,300200,1,,5|10,0,0,302001,302011|302021|302031|302041,,10~546|12~184|14~5258|15~104|20~0.05|21~1.5|30~1|31~1,10~21.8|12~13.8|14~87.6|15~0,1.15|0.9|1.14|104|5|150|0|0|0|0|100|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,70
