lv,exp,upCost,baseReward,ticketReward
int32,int32,int32,[]{int32 id;int64 n},[]{int32 id;int64 n}
0,1000,800,10001~10000,10002~50|20001~1
1,1000,800,20012~1,10001~2000000|20013~1
2,1000,800,20011~1,10002~50|20003~1
3,1000,800,20002~1,10006~200|20002~2
4,1000,800,20001~2,20001~3|21051~15
5,1000,800,10002~60,20023~15|10002~150
6,1000,800,20101~1,20102~1|21051~5
7,1000,800,10006~200,21051~5|10006~500
8,1000,800,21051~5,10001~2000000|20002~1
9,1000,800,20043~1,10002~200|20023~30
10,1000,800,20002~3,20003~2|21051~25
11,1000,800,10005~100000,20043~2|10005~150000
12,1000,800,21041~10,21041~15|20003~1
13,1000,800,10002~60,21051~5|20002~1
14,1000,800,10001~50000,10002~500|10001~3000000
15,1000,800,20002~1,10006~1000|20024~15
16,1000,800,20001~3,20023~15|20002~2
17,1000,800,20012~2,20012~3|10002~300
18,1000,800,10010~200,10005~200000|10006~500
19,1000,800,20043~1,20043~1|20003~1
20,1000,800,21051~15,10002~300|20013~1
21,1000,800,20011~2,20011~3|20002~2
22,1000,800,10005~350000,10006~1000|10005~500000
23,1000,800,21041~10,20102~1|20024~15
24,1000,800,10001~100000,10002~400|10001~3000000
25,1000,800,21051~10,20043~1|21051~5
26,1000,800,10002~100,21051~5|10001~3000000
27,1000,800,10006~150,20002~1|10006~1500
28,1000,800,20043~1,20043~2|10002~400
29,1000,800,20012~2,21051~10|20012~3
30,1000,800,10010~200,20025~20|20026~10
31,1000,800,20101~1,10006~2000|20102~1
32,1000,800,10005~150000,20002~1|10005~800000
33,1000,800,21051~10,10002~500|20003~1
34,1000,800,10006~150,10006~1000|20013~1
35,1000,800,20013~1,20101~1|20003~1
36,1000,800,20102~1,20024~15|20102~1
37,1000,800,10001~150000,20002~2|10001~3000000
38,1000,800,20043~1,10002~500|20044~1
39,1000,800,10002~100,20002~1|20003~1
40,1000,800,20003~1,10002~200|21058~10
41,1000,800,10005~120000,20044~1|10010~2000
42,1000,800,21051~10,21051~5|20002~1
43,1000,800,20102~1,20013~1|10002~300
44,1000,800,10006~550,20002~1|20101~1
45,1000,800,20013~1,20003~1|20025~10
46,1000,800,20003~2,10002~300|20002~5
47,1000,800,20012~3,20012~5|21051~5
48,1000,800,20002~2,20002~1|20003~1
49,1000,800,20003~1,10002~300|21051~50
50,,,10027~5,20002~1|10027~15
