id,txt_Des,getExp,cond,p1,p2,sourceId
int32,string,int32,int32,int32,double,int32
1,日常登陆,160,1,,1,
2,赠送好友体力{0}次,160,3,,5,1060
3,挂机奖励领取{0}次,160,8,,5,30
4,高级召唤{0}次,220,11,31,2,1000
5,阵营召唤{0}次,300,11,32,1,1005
6,钻石消耗{0},220,2,10002,500,1901
7,金币消耗{0},220,2,10001,500000,1901
8,战魂消耗{0},220,2,10005,300000,20
9,分享游戏{0}次,300,6,1002,1,9002
10,幸运轮盘抽取{0}次,300,9,2,3,1025
11,珍宝商店交易{0}次,160,5,100,2,1901
12,酒馆派遣{0}次,220,44,-1,3,1020
13,排行榜点赞{0}次,160,17,-1,5,1065
14,主线关卡快速挂机{0}次,160,210,,1,30
15,试炼之塔扫荡{0}次,160,211,,1,1040
16,竞技场战斗{0}次,160,207,,3,1035
17,挑战公会Boss{0}次,300,208,,2,50
18,任意金额充值{0}次,500,14,,1,1075
19,点金{0}次,160,12,,2,1055
20,铁匠铺合成装备{0}次,160,7,,2,1015
21,公会任意碎片许愿{0}次,160,302,,1,50
