id,icon,hide
string,string,int32
30001,hero_001,1
30004,hero_004,1
30005,hero_005,1
30009,hero_009,1
30010,hero_010,1
30011,hero_011,1
30014,hero_014,1
30015,hero_015,1
30016,hero_016,1
30018,hero_018,1
30019,hero_019,1
30020,hero_020,1
30021,hero_021,1
30022,hero_022,1
30023,hero_023,1
30024,hero_024,1
30025,hero_025,1
30042,hero_042,1
30043,hero_043,1
30046,hero_046,1
30047,hero_047,1
30048,hero_048,1
30051,hero_051,1
30052,hero_052,1
30053,hero_053,1
30054,hero_054,1
30056,hero_056,1
30058,hero_058,1
30059,hero_059,1
30060,hero_060,1
30061,hero_061,1
30062,hero_062,1
30063,hero_063,1
30064,hero_064,1
30119,hero_119,1
30123,hero_123,1
30124,hero_124,1
30125,hero_125,1
30126,hero_126,1
30129,hero_129,1
30130,hero_130,1
30131,hero_131,1
30133,hero_133,1
30134,hero_134,1
30136,hero_136,1
30137,hero_137,1
30138,hero_138,1
30139,hero_139,1
30140,hero_140,1
30141,hero_141,1
30142,hero_142,1
30164,hero_164,1
30167,hero_167,1
30169,hero_169,1
30170,hero_170,1
30171,hero_171,1
30175,hero_175,1
30176,hero_176,1
30177,hero_177,1
30178,hero_178,1
30179,hero_179,1
30180,hero_180,1
30181,hero_181,1
30206,hero_206,1
30207,hero_207,1
30208,hero_208,1
30209,hero_209,1
30213,hero_213,1
30214,hero_214,1
30215,hero_215,1
30216,hero_216,1
30217,hero_217,1
30218,hero_218,1
30219,hero_219,1
30220,hero_220,1
30235,hero_235,1
30236,hero_236,1
30237,hero_237,1
30238,hero_238,1
30256,hero_256,1
30257,hero_257,1
30260,hero_260,1
30298,hero_298,1
30300,hero_300,1
30301,hero_301,1
30319,hero_319,1
30320,hero_320,1
30321,hero_321,1
30322,hero_322,1
30323,hero_323,1
30324,hero_324,1
30325,hero_325,1
30340,hero_340,1
30341,hero_341,1
30342,hero_342,1
30343,hero_343,1
30344,hero_344,1
30345,hero_345,1
30346,hero_346,1
30445,hero_445,1
30448,hero_448,1
30468,hero_468,1
30470,hero_470,1
