Id,shopType,blankId,item,num,discount,currency,addPrice,buyCount,hot,blankOpen,blankDes
int32,int32,int32,int32,int32,int32,int32,double,int32,int32,[]{int32 statusId;double val},string
10001001,100,1,22020,50,10000,10013,,1,,,
10001002,100,1,22020,50,9000,10013,,1,,,
10001003,100,1,22020,50,8000,10013,,1,,,
10001004,100,1,22020,50,7000,10013,,1,,,
10001005,100,1,22020,50,6000,10013,,1,,,
10001006,100,1,22020,50,5000,10013,,1,,,
10001007,100,1,22137,50,10000,10013,,1,,,
10001008,100,1,22137,50,9000,10013,,1,,,
10001009,100,1,22137,50,8000,10013,,1,,,
10001010,100,1,22137,50,7000,10013,,1,,,
10001011,100,1,22137,50,6000,10013,,1,,,
10001012,100,1,22137,50,5000,10013,,1,,,
10001013,100,1,22059,50,10000,10013,,1,,,
10001014,100,1,22059,50,9000,10013,,1,,,
10001015,100,1,22059,50,8000,10013,,1,,,
10001016,100,1,22059,50,7000,10013,,1,,,
10001017,100,1,22059,50,6000,10013,,1,,,
10001018,100,1,22059,50,5000,10013,,1,,,
10002001,100,2,20002,1,9000,10002,,1,,,
10002002,100,2,20002,1,9000,10002,,1,,,
10002003,100,2,20002,1,8000,10002,,1,,,
10002004,100,2,20002,1,7000,10002,,1,,,
10002005,100,2,20002,1,6000,10002,,1,,,
10002006,100,2,20002,1,5000,10002,,1,,,
10003001,100,3,20003,1,10000,10002,,1,,,
10003002,100,3,20003,1,9000,10002,,1,,,
10003003,100,3,20003,1,8000,10002,,1,,,
10003004,100,3,20003,1,7000,10002,,1,,,
10003005,100,3,20003,1,6000,10002,,1,,,
10003006,100,3,20003,1,5000,10002,,1,,,
10004001,100,4,10006,200,10000,10002,,1,,,
10004002,100,4,10006,200,9000,10002,,1,,,
10004003,100,4,10006,200,8000,10002,,1,,,
10004004,100,4,10006,200,7000,10002,,1,,,
10004005,100,4,10006,200,6000,10002,,1,,,
10004006,100,4,10006,200,5000,10002,,1,,,
10004007,100,4,10006,100,10000,10001,,1,,,
10004008,100,4,10006,100,9000,10001,,1,,,
10004009,100,4,10006,100,8000,10001,,1,,,
10004010,100,4,10006,100,7000,10001,,1,,,
10004011,100,4,10006,100,6000,10001,,1,,,
10004012,100,4,10006,100,5000,10001,,1,,,
10005001,100,5,10005,200000,10000,10002,,1,,,
10005002,100,5,10005,200000,9000,10002,,1,,,
10005003,100,5,10005,200000,8000,10002,,1,,,
10005004,100,5,10005,200000,7000,10002,,1,,,
10005005,100,5,10005,200000,6000,10002,,1,,,
10005006,100,5,10005,200000,5000,10002,,1,,,
10005007,100,5,10005,100000,10000,10001,,1,,,
10005008,100,5,10005,100000,9000,10001,,1,,,
10005009,100,5,10005,100000,8000,10001,,1,,,
10005010,100,5,10005,100000,7000,10001,,1,,,
10005011,100,5,10005,100000,6000,10001,,1,,,
10005012,100,5,10005,100000,5000,10001,,1,,,
10006001,100,6,21041,30,10000,10002,,1,,,
10006002,100,6,21041,30,9000,10002,,1,,,
10006003,100,6,21041,30,8000,10002,,1,,,
10006004,100,6,21041,30,7000,10002,,1,,,
10006005,100,6,21041,30,6000,10002,,1,,,
10006006,100,6,21041,30,5000,10002,,1,,,
10006007,100,6,21041,30,10000,10001,,1,,,
10006008,100,6,21041,30,9000,10001,,1,,,
10006009,100,6,21041,30,8000,10001,,1,,,
10006010,100,6,21041,30,7000,10001,,1,,,
10006011,100,6,21041,30,6000,10001,,1,,,
10006012,100,6,21041,30,5000,10001,,1,,,
10007001,100,7,21031,100,10000,10002,,1,,,
10007002,100,7,21031,100,9000,10002,,1,,,
10007003,100,7,21031,100,8000,10002,,1,,,
10007004,100,7,21031,100,7000,10002,,1,,,
10007005,100,7,21031,100,6000,10002,,1,,,
10007006,100,7,21031,100,5000,10002,,1,,,
10007007,100,7,21031,100,10000,10001,,1,,,
10007008,100,7,21031,100,9000,10001,,1,,,
10007009,100,7,21031,100,8000,10001,,1,,,
10007010,100,7,21031,100,7000,10001,,1,,,
10007011,100,7,21031,100,6000,10001,,1,,,
10007012,100,7,21031,100,5000,10001,,1,,,
10008001,100,8,20011,1,10000,10002,,1,,,
10008002,100,8,20011,1,9000,10002,,1,,,
10008003,100,8,20011,1,8000,10002,,1,,,
10008004,100,8,20011,1,7000,10002,,1,,,
10008005,100,8,20011,1,6000,10002,,1,,,
10008006,100,8,20011,1,5000,10002,,1,,,
10008007,100,8,20011,1,10000,10001,,1,,,
10008008,100,8,20011,1,9000,10001,,1,,,
10008009,100,8,20011,1,8000,10001,,1,,,
10008010,100,8,20011,1,7000,10001,,1,,,
10008011,100,8,20011,1,6000,10001,,1,,,
10008012,100,8,20011,1,5000,10001,,1,,,
10009001,100,9,20012,1,10000,10002,,1,,,
10009002,100,9,20012,1,9000,10002,,1,,,
10009003,100,9,20012,1,8000,10002,,1,,,
10009004,100,9,20012,1,7000,10002,,1,,,
10009005,100,9,20012,1,6000,10002,,1,,,
10009006,100,9,20012,1,5000,10002,,1,,,
10009007,100,9,20012,1,10000,10001,,1,,,
10009008,100,9,20012,1,9000,10001,,1,,,
10009009,100,9,20012,1,8000,10001,,1,,,
10009010,100,9,20012,1,7000,10001,,1,,,
10009011,100,9,20012,1,6000,10001,,1,,,
10009012,100,9,20012,1,5000,10001,,1,,,
10010001,100,10,20101,1,10000,10002,,1,,,
10010002,100,10,20101,1,9000,10002,,1,,,
10010003,100,10,20101,1,8000,10002,,1,,,
10010004,100,10,20101,1,7000,10002,,1,,,
10010005,100,10,20101,1,6000,10002,,1,,,
10010006,100,10,20101,1,5000,10002,,1,,,
10010007,100,10,20101,1,10000,10001,,1,,,
10010008,100,10,20101,1,9000,10001,,1,,,
10010009,100,10,20101,1,8000,10001,,1,,,
10010010,100,10,20101,1,7000,10001,,1,,,
10010011,100,10,20101,1,6000,10001,,1,,,
10010012,100,10,20101,1,5000,10001,,1,,,
10011001,100,11,23103,1,8000,10002,,1,,,
10011002,100,11,23104,1,8000,10002,,1,,,
10011003,100,11,23203,1,8000,10002,,1,,,
10011004,100,11,23204,1,8000,10002,,1,,,
10011005,100,11,23303,1,8000,10002,,1,,,
10011006,100,11,23304,1,8000,10002,,1,,,
10011007,100,11,23403,1,8000,10001,,1,,,
10011008,100,11,23404,1,8000,10001,,1,,,
10011009,100,11,23103,1,8000,10001,,1,,,
10011010,100,11,23104,1,8000,10001,,1,,,
10011011,100,11,23203,1,8000,10001,,1,,,
10011012,100,11,23204,1,8000,10001,,1,,,
10011013,100,11,23303,1,8000,10001,,1,,,
10011014,100,11,23304,1,8000,10001,,1,,,
10011015,100,11,23403,1,8000,10001,,1,,,
10011016,100,11,23404,1,8000,10001,,1,,,
10101001,101,1,21051,5,10000,10009,,1,,,
10102001,101,2,21041,5,10000,10009,,1,,,
10103001,101,3,22019,5,10000,10009,,1,,,
10104001,101,4,22064,5,10000,10009,,1,,,
10105001,101,5,22141,5,10000,10009,,1,,,
10106001,101,6,21058,5,10000,10009,,1,,,
10107001,101,7,21048,5,10000,10009,,1,,,
10108001,101,8,23105,1,10000,10009,,1,,,
10109001,101,9,23205,1,10000,10009,,1,,,
10110001,101,10,23305,1,10000,10009,,1,,,
10111001,101,11,23405,1,10000,10009,,1,,,
10201001,102,1,20001,1,10000,10008,,1,,,
10201002,102,1,20001,1,10000,10008,,1,,,
10201003,102,1,20001,1,10000,10008,,1,,,
10201004,102,1,20001,1,10000,10008,,1,,,
10201005,102,1,20001,1,10000,10008,,1,,,
10201006,102,1,20001,1,10000,10008,,1,,,
10202001,102,2,20001,1,10000,10008,,1,,,
10203001,102,3,20001,1,10000,10008,,1,,,
10204001,102,4,20001,1,10000,10008,,1,,,
10205001,102,5,20001,1,10000,10008,,1,,,
10206001,102,6,20001,1,10000,10008,,1,,,
10207001,102,7,20001,1,10000,10008,,1,,,
10208001,102,8,20001,1,10000,10008,,1,,,
10301001,103,1,10010,500,10000,10011,,1,,,
10302001,103,2,21051,5,10000,10011,,1,,,
10303001,103,3,21041,5,10000,10011,,1,,,
10304001,103,4,22022,5,10000,10011,,1,,,
10305001,103,5,22300,5,10000,10011,,1,,,
10306001,103,6,22256,5,10000,10011,,1,,,
10307001,103,7,22235,5,10000,10011,,1,,,
10308001,103,8,22058,5,10000,10011,,1,,,
10309001,103,9,22136,5,10000,10011,,1,,,
10310001,103,10,22177,5,10000,10011,,1,,,
10311001,103,11,22342,5,10000,10011,,1,,,
10401001,104,1,22175,50,10000,10027,,1,,,
10402001,104,2,22319,50,10000,10027,,1,,,
10403001,104,3,22323,50,10000,10027,,1,,,
10404001,104,4,22448,50,10000,10027,,1,,,
10405001,104,5,22321,50,10000,10027,,1,,,
10406001,104,6,22324,50,10000,10027,,1,,,
10407001,104,7,22445,50,10000,10027,,1,,,
10408001,104,8,22214,50,10000,10027,,1,,,
10409001,104,9,22344,50,10000,10027,,1,,,
10410001,104,10,22345,50,10000,10027,,1,,,
10411001,104,11,22468,50,10000,10027,,1,,,
10412001,104,12,22341,50,10000,10027,,1,,,
10413001,104,13,22470,50,10000,10027,,1,,,
10414001,104,14,22022,50,10000,10027,,1,,,
10415001,104,15,22236,50,10000,10027,,1,,,
10416001,104,16,22300,50,10000,10027,,1,,,
10417001,104,17,22138,50,10000,10027,,1,,,
10418001,104,18,22256,50,10000,10027,,1,,,
10419001,104,19,22260,50,10000,10027,,1,,,
10420001,104,20,20014,1,10000,10027,,1,,,
10421001,104,21,21052,10,10000,10027,,1,,,
10422001,104,22,21053,10,10000,10027,,1,,,
10423001,104,23,21055,10,10000,10027,,1,,,
10424001,104,24,40401,1,10000,10027,,1,,,
10425001,104,25,40402,1,10000,10027,,1,,,
10426001,104,26,40403,1,10000,10027,,1,,,
10427001,104,27,40404,1,10000,10027,,1,,,
10428001,104,28,40405,1,10000,10027,,1,,,
10429001,104,29,40406,1,10000,10027,,1,,,
10430001,104,30,20025,1,10000,10027,,1,,,
10431001,104,31,20026,1,10000,10027,,1,,,
10501001,105,1,20003,1,10000,10012,,1,,,
10502001,105,2,21041,5,10000,10012,,1,,,
10503001,105,3,21051,5,10000,10012,,1,,,
10504001,105,4,22175,5,10000,10012,,1,,,
10505001,105,5,22319,5,10000,10012,,1,,,
10506001,105,6,22214,5,10000,10012,,1,,,
10507001,105,7,22345,5,10000,10012,,1,,,
10508001,105,8,21055,5,10000,10012,,1,,,
10509001,105,9,21052,5,10000,10012,,1,,,
10510001,105,10,21053,5,10000,10012,,1,,,
10511001,105,11,23107,1,10000,10012,,1,,,
10512001,105,12,23207,1,10000,10012,,1,,,
10513001,105,13,23307,1,10000,10012,,1,,,
10514001,105,14,23407,1,10000,10012,,1,,,
11101001,111,1,22024,5,10000,10028,,1,,,
11102001,111,2,22236,5,10000,10028,,1,,,
11103001,111,3,22260,5,10000,10028,,1,,,
11104001,111,4,22063,5,10000,10028,,1,,,
11105001,111,5,22142,5,10000,10028,,1,,,
11106001,111,6,22138,5,10000,10028,,1,,,
11107001,111,7,40301,1,10000,10028,,1,,,
11108001,111,8,40302,1,10000,10028,,1,,,
11109001,111,9,40303,1,10000,10028,,1,,,
11110001,111,10,40304,1,10000,10028,,1,,,
11111001,111,11,40305,1,10000,10028,,1,,,
11112001,111,12,40306,1,10000,10028,,1,,,
11113001,111,13,40401,1,10000,10028,,1,,,
11114001,111,14,40402,1,10000,10028,,1,,,
11115001,111,15,40403,1,10000,10028,,1,,,
11116001,111,16,40404,1,10000,10028,,1,,,
11117001,111,17,40405,1,10000,10028,,1,,,
11118001,111,18,40406,1,10000,10028,,1,,,
11119001,111,19,49002,1,10000,10028,,1,,,
11120001,111,20,49003,1,10000,10028,,1,,,
