day,rewards
int32,[]{int32 id;int32 n}
1,10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
2,21041~30
3,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
4,23106~1
5,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
6,22019~10|22025~10|22059~10|22064~10|22140~10|22019~10|22025~10|22059~10|22064~10|22140~10|22059~10|22140~10
7,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|100
8,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|100
9,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|100
10,22019~10|22025~10|22059~10|22064~10|22140~10|22019~10|22025~10|22059~10|22064~10|22140~10|22059~10|22140~10
11,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
12,23206~1
13,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
14,22019~10|22025~10|22059~10|22064~10|22140~10|22019~10|22025~10|22059~10|22064~10|22140~10|22059~10|22140~10
15,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
16,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
17,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
18,22019~10|22025~10|22059~10|22064~10|22140~10|22019~10|22025~10|22059~10|22064~10|22140~10|22059~10|22140~10
19,10002~150|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
20,23306~1
21,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
22,22019~10|22025~10|22059~10|22064~10|22140~10|22019~10|22025~10|22059~10|22064~10|22140~10|22059~10|22140~10
23,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
24,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
25,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
26,20002~2
27,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
28,23406~1
29,10002~200|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100|10002~100
30,20003~1
