Id,lv,txt_Name,icon,txt_Des,skillFunc,skillType,distance,buffShow,nextSkill,skillAnim,bulletType,bulletJsonName,skillCharge,hitShake,powerRatio,kamiSound
int32,int32,string,string,string,[]int32,string,int32,[]int32,string,string,int32,string,[]{int32 old;int32 new},[]{float time;float count;float n},float,string
300101,1,,,,3001011,normal,1,,,attack_1,1,,,,,
300111,1,粘液撞击,ui_skill_1,对单个敌人造成203%攻击的伤害,3001111,special,1,,,attack_2,1,,,,,
300401,1,,,,3004011,normal,1,,,attack_1,1,,,,,
300411,1,针千本,ui_skill_62,对前排随机1个敌人造成134%攻击的伤害，使目标防御-36%，持续1回合,3004111|3004112,special,2,,,attack_2,4,sp_sk_hit_blueexplor,,,,
300501,1,,,,3005011,normal,1,,,attack_1,1,,,,,
300511,1,冰冻,ui_skill_21,对前排敌人造成126%攻击的伤害,3005111,special,2,,,attack_2,4,sp_sk_hit_icebeer,,,,
300901,1,,,,3009011,normal,1,,,attack_1,1,,,,,
300911,1,撕碎,ui_skill_51,对单个敌人造成134%攻击的伤害，使自身增伤+14%，持续1回合,3009111|3009112,special,2,,,attack_2,4,sp_bt_bladelight2_hammer,,,,
300921,1,暴击提升,ui_passiveSkill_magicDefence,暴击+5%,12001,passive,2,,,,,,,,,
301001,1,,,,3010011,normal,1,,,attack_1,1,,,,,
301011,1,刺杀,ui_skill_214,对后排随机2个敌人造成126%攻击的伤害,3010111,special,2,,,attack_2,1,,,,,
301021,1,攻击提升,ui_passiveSkill_critical,攻击+5%,11001,passive,2,,,,,,,,,
301101,1,,,,3011011,normal,2,,,attack_1,3,sp_sk_fly_red_elec_stand,,,,
301111,1,风雪交加,ui_skill_11,对前排敌人造成172%攻击的伤害，20%几率使目标冰冻，无法行动，持续1回合,3011111|3011112,special,2,,,attack_2,4,sp_sk_hit_icebeer,,,,
301121,1,攻击提升,ui_passiveSkill_critical,攻击+5%,11001,passive,2,,,,,,,,,
301401,1,,,,3014011,normal,1,,,attack_1,1,,,,,
