id,day,item,price,oldPrice,maxBuy
int32,int32,[]{int32 id;int64 n},int32,int32,int32
1,1,10006~20,0,20,1
2,1,10005~400000,200,400,1
3,1,10001~600000,240,480,1
4,2,20011~1,0,25,1
5,2,20011~10,150,300,1
6,2,10010~1000,480,960,1
7,2,10006~500,300,600,1
8,3,10010~50,0,30,1
9,3,21031~60,300,600,1
10,3,21041~60,900,1800,1
11,3,20011~10,150,300,1
12,4,20012~1,0,50,1
13,4,40202~1,999,1998,1
14,4,20012~10,300,600,1
15,5,20011~1,0,25,1
16,5,20011~10,125,250,1
17,5,49002~2,256,512,1
18,5,20012~10,300,600,1
19,6,10005~20000,0,20,1
20,6,21052~10,600,1200,1
21,6,21053~10,600,1200,1
22,6,21055~10,600,1200,1
23,7,10001~100000,0,33,1
24,7,10005~200000,100,200,1
25,7,10006~500,250,500,1
26,7,10001~1000000,165,330,1
