id,target,openId,type,p2,reward,moduleId
int32,string,int32,int32,double,[]{int32 id;int64 n},int32
1,积分竞技场参与{0}场战斗,,1,20,10006~200|20013~1|10002~100,
2,积分竞技场参与{0}场战斗,,1,40,10010~200|20013~1|10002~100,
3,积分竞技场参与{0}场战斗,,1,60,10006~300|20013~1|10002~150,
4,积分竞技场参与{0}场战斗,,1,80,10010~300|20013~1|10002~150,
5,积分竞技场参与{0}场战斗,,1,100,10006~500|20013~2|10002~200,
6,积分竞技场参与{0}场战斗,,1,120,10006~1000|20013~2|10002~200,
7,积分竞技场参与{0}场战斗,,1,150,10010~1000|20013~2|10002~500,
8,完成所有积分竞技场战斗目标,,1,7,10027~2|10010~2000,
501,完成酒馆4星任务{0}次,,2,35,20013~1|20002~10,
502,完成酒馆5星任务{0}次,,2,24,20013~2|20003~5,
503,完成酒馆6星任务{0}次,,2,7,20013~3|20003~5,
504,完成酒馆7星任务{0}次,,2,2,21051~50|20003~10,
505,完成所有酒馆目标,,2,4,10006~10000,
