seq,type,txt_Des
int32,int32,string
1,10,英雄升星会大幅提升「英雄实力」
2,10,英雄升星会提高英雄「技能等级」
3,10,成长之路中「通关任务」有丰厚的「钻石」奖励！
4,10,「试炼之塔」会产出「进阶石」，英雄进阶的必要道具！
5,10,常常去铁匠铺「合成装备」是提升「英雄强度」的重要手段！
6,10,完成「日常任务」可以获得「勇士劵」，用于参与积分竞技场！
7,10,七日登录活动，第2天可以免费领取雷系超级坦克「翔空」
8,10,提升6位英雄的「平均等级」是推图过关的秘诀！
9,10,激活「阵营光环」大幅提升英雄们的「战斗实力」
10,10,通关越多，挂机「收益越高」
11,10,「空间裂隙」能获取丰厚的「英雄升级材料」
12,10,领取挂机奖励，会提升「玩家等级」以及获取丰厚的「英雄培养资源」
13,10,缺资源时可以去「市场」看看，进阶石、战魂、英雄碎片等种类丰富！
14,10,完成「每日任务」可以获得「养成资源」以及「召唤水晶」
15,10,「周卡」可以大幅提升「挂机收益」
16,10,提高VIP等级会增加各种特权次数以及挂机时间上限！
17,10,「终身卡」会永久激活「珍宝商店」额外「20%折扣」！
18,10,合理「搭配阵容」是取得战斗胜利的关键，记得坦克放前排哦！
