lv,exp,counter,reward,monthCardReward,txt_Des
int32,int32,[]{int32 id;int32 n},[]{int32 id;int64 n},[]{int32 id;int64 n},string
0,600,,,,
1,3000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~1|1000011~10|1000007~5,23104~1|23204~1|23304~1|23404~1,20002~1|10002~40,1、快速挂机和快速通关次数+1|2、英雄背包容量+10|3、珍宝商店刷新次数+1|4、挂机产出金币、战魂、经验+10%|5、每日刷新酒馆任务+1|6、点金次数+5
2,7000,1000001~0|1000012~0|1000002~0|1000005~10|1000008~0|1000011~10|1000007~2,21052~10|21053~10|21055~10,20002~1|10002~60,1、快速挂机和快速通关次数+1|2、英雄背包容量+20|3、珍宝商店刷新次数+1|4、挂机产出金币、战魂、经验+20%|5、每日刷新酒馆任务+1|6、点金次数+7
3,15000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20900~1,20002~2|10002~80,1、快速挂机和快速通关次数+2|2、英雄背包容量+30|3、珍宝商店刷新次数+1|4、挂机产出金币、战魂、经验+35%|5、每日刷新酒馆任务+2|6、点金次数+9
4,25000,1000001~0|1000012~0|1000002~0|1000005~10|1000008~1|1000011~15|1000007~2,21051~50,20002~2|21051~1|10002~100,1、快速挂机和快速通关次数+2|2、英雄背包容量+40|3、珍宝商店刷新次数+2|4、挂机产出金币、战魂、经验+50%|5、每日刷新酒馆任务+2|6、点金次数+11
5,40000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,23106~1|23206~1|23306~1|23406~1,20002~2|21051~1|10002~120,1、快速挂机和快速通关次数+3|2、英雄背包容量+50|3、珍宝商店刷新次数+2|4、挂机产出金币、战魂、经验+65%|5、每日刷新酒馆任务+3|6、点金次数+13
6,60000,1000001~0|1000012~0|1000002~0|1000005~10|1000008~0|1000011~15|1000007~2,21051~50,20002~3|21051~1|10002~140,1、快速挂机和快速通关次数+3|2、英雄背包容量+60|3、珍宝商店刷新次数+2|4、挂机产出金币、战魂、经验+80%|5、每日刷新酒馆任务+3|6、点金次数+15
7,90000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20003~5,20002~3|21051~1|10002~160,1、快速挂机和快速通关次数+4|2、英雄背包容量+70|3、珍宝商店刷新次数+2|4、挂机产出金币、战魂、经验+95%|5、每日刷新酒馆任务+4|6、点金次数+17
8,120000,1000001~0|1000012~0|1000002~0|1000005~10|1000008~1|1000011~15|1000007~2,21058~50,20002~3|21051~2|10002~180,1、快速挂机和快速通关次数+4|2、英雄背包容量+80|3、珍宝商店刷新次数+3|4、挂机产出金币、战魂、经验+110%|5、每日刷新酒馆任务+4|6、点金次数+19
9,180000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20003~5,20002~4|21051~2|10002~200,1、快速挂机和快速通关次数+5|2、英雄背包容量+90|3、珍宝商店刷新次数+3|4、挂机产出金币、战魂、经验+125%|5、每日刷新酒馆任务+5|6、点金次数+21
10,280000,1000001~0|1000012~0|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20901~1,20002~4|21051~2|10002~220,1、快速挂机和快速通关次数+5|2、英雄背包容量+100|3、珍宝商店刷新次数+3|4、挂机产出金币、战魂、经验+140%|5、每日刷新酒馆任务+6|6、点金次数+23
11,400000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20003~10,20002~4|21051~2|10002~240,1、快速挂机和快速通关次数+6|2、英雄背包容量+110|3、珍宝商店刷新次数+3|4、挂机产出金币、战魂、经验+155%|5、每日刷新酒馆任务+7|6、点金次数+25
12,550000,1000001~0|1000012~0|1000002~1|1000005~10|1000008~1|1000011~15|1000007~2,20032~1,20002~5|21051~3|10002~260,1、快速挂机和快速通关次数+6|2、英雄背包容量+120|3、珍宝商店刷新次数+4|4、挂机产出金币、战魂、经验+170%|5、每日刷新酒馆任务+8|6、点金次数+27
13,800000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,20025~50,20002~5|21051~3|10002~280,1、快速挂机和快速通关次数+7|2、英雄背包容量+130|3、珍宝商店刷新次数+4|4、挂机产出金币、战魂、经验+185%|5、每日刷新酒馆任务+9|6、点金次数+29
14,1800000,1000001~0|1000012~0|1000002~1|1000005~10|1000008~0|1000011~15|1000007~2,21058~50,20002~5|21051~3|10002~300,1、快速挂机和快速通关次数+7|2、英雄背包容量+140|3、珍宝商店刷新次数+4|4、挂机产出金币、战魂、经验+200%|5、每日刷新酒馆任务+10|6、点金次数+31
15,3600000,1000001~0|1000012~0|1000002~0|1000005~10|1000008~1|1000011~5|1000007~1,20032~1,20002~5|21051~4|10002~320,1、快速挂机和快速通关次数+7|2、英雄背包容量+150|3、珍宝商店刷新次数+5|4、挂机产出金币、战魂、经验+205%|5、每日刷新酒馆任务+10|6、点金次数+32
16,5400000,1000001~0|1000012~0|1000002~1|1000005~10|1000008~0|1000011~5|1000007~1,21058~50,20002~6|21051~4|10002~340,1、快速挂机和快速通关次数+7|2、英雄背包容量+160|3、珍宝商店刷新次数+5|4、挂机产出金币、战魂、经验+210%|5、每日刷新酒馆任务+11|6、点金次数+33
17,7200000,1000001~1|1000012~1|1000002~1|1000005~10|1000008~1|1000011~5|1000007~1,20032~1,20002~6|21051~5|10002~360,1、快速挂机和快速通关次数+8|2、英雄背包容量+170|3、珍宝商店刷新次数+6|4、挂机产出金币、战魂、经验+215%|5、每日刷新酒馆任务+12|6、点金次数+34
18,,1000001~0|1000012~0|1000002~1|1000005~10|1000008~0|1000011~5|1000007~1,20026~50,20002~7|21051~5|10002~380,1、快速挂机和快速通关次数+8|2、英雄背包容量+180|3、珍宝商店刷新次数+6|4、挂机产出金币、战魂、经验+220%|5、每日刷新酒馆任务+13|6、点金次数+35
