chapter,txt_Name,background,hangMap,hangMapBg,battleMusic
int32,string,string,string,string,string
1,第1章,battle_bg_11,battle_map_6,ui_bg_5,
2,第2章,battle_bg_3,battle_map_3,ui_bg_3,
3,第3章,battle_bg_3,battle_map_3,ui_bg_3,
4,第4章,battle_bg_1,battle_map_1,ui_bg_1,
5,第5章,battle_bg_1,battle_map_1,ui_bg_1,
6,第6章,battle_bg_2,battle_map_2,ui_bg_2,
7,第7章,battle_bg_2,battle_map_2,ui_bg_2,
8,第8章,battle_bg_4,battle_map_4,ui_bg_4,
9,第9章,battle_bg_4,battle_map_4,ui_bg_4,
10,第10章,battle_bg_5,battle_map_5,ui_bg_5,
11,第11章,battle_bg_5,battle_map_5,ui_bg_5,
12,第12章,battle_bg_3,battle_map_3,ui_bg_3,
13,第13章,battle_bg_3,battle_map_3,ui_bg_3,
14,第14章,battle_bg_1,battle_map_1,ui_bg_1,
15,第15章,battle_bg_1,battle_map_1,ui_bg_1,
16,第16章,battle_bg_2,battle_map_2,ui_bg_2,
17,第17章,battle_bg_2,battle_map_2,ui_bg_2,
18,第18章,battle_bg_4,battle_map_4,ui_bg_4,
19,第19章,battle_bg_4,battle_map_4,ui_bg_4,
20,第20章,battle_bg_5,battle_map_5,ui_bg_5,
21,第21章,battle_bg_5,battle_map_5,ui_bg_5,
22,第22章,battle_bg_3,battle_map_3,ui_bg_3,
23,第23章,battle_bg_3,battle_map_3,ui_bg_3,
24,第24章,battle_bg_1,battle_map_1,ui_bg_1,
25,第25章,battle_bg_1,battle_map_1,ui_bg_1,
26,第26章,battle_bg_2,battle_map_2,ui_bg_2,
27,第27章,battle_bg_2,battle_map_2,ui_bg_2,
28,第28章,battle_bg_4,battle_map_4,ui_bg_4,
29,第29章,battle_bg_4,battle_map_4,ui_bg_4,
30,第30章,battle_bg_5,battle_map_5,ui_bg_5,
31,第31章,battle_bg_5,battle_map_5,ui_bg_5,
32,第32章,battle_bg_3,battle_map_3,ui_bg_3,
33,第33章,battle_bg_3,battle_map_3,ui_bg_3,
34,第34章,battle_bg_1,battle_map_1,ui_bg_1,
35,第35章,battle_bg_1,battle_map_1,ui_bg_1,
36,第36章,battle_bg_2,battle_map_2,ui_bg_2,
37,第37章,battle_bg_2,battle_map_2,ui_bg_2,
38,第38章,battle_bg_4,battle_map_4,ui_bg_4,
39,第39章,battle_bg_4,battle_map_4,ui_bg_4,
40,第40章,battle_bg_5,battle_map_5,ui_bg_5,
41,第41章,battle_bg_5,battle_map_5,ui_bg_5,
42,第42章,battle_bg_3,battle_map_3,ui_bg_3,
43,第43章,battle_bg_3,battle_map_3,ui_bg_3,
44,第44章,battle_bg_1,battle_map_1,ui_bg_1,
45,第45章,battle_bg_1,battle_map_1,ui_bg_1,
46,第46章,battle_bg_2,battle_map_2,ui_bg_2,
47,第47章,battle_bg_2,battle_map_2,ui_bg_2,
48,第48章,battle_bg_4,battle_map_4,ui_bg_4,
49,第49章,battle_bg_4,battle_map_4,ui_bg_4,
50,第50章,battle_bg_5,battle_map_5,ui_bg_5,
51,第51章,battle_bg_5,battle_map_5,ui_bg_5,
52,第52章,battle_bg_3,battle_map_3,ui_bg_3,
53,第53章,battle_bg_3,battle_map_3,ui_bg_3,
54,第54章,battle_bg_1,battle_map_1,ui_bg_1,
55,第55章,battle_bg_1,battle_map_1,ui_bg_1,
56,第56章,battle_bg_2,battle_map_2,ui_bg_2,
57,第57章,battle_bg_2,battle_map_2,ui_bg_2,
58,第58章,battle_bg_4,battle_map_4,ui_bg_4,
59,第59章,battle_bg_4,battle_map_4,ui_bg_4,
60,第60章,battle_bg_5,battle_map_5,ui_bg_5,
61,第61章,battle_bg_5,battle_map_5,ui_bg_5,
62,第62章,battle_bg_3,battle_map_3,ui_bg_3,
63,第63章,battle_bg_3,battle_map_3,ui_bg_3,
64,第64章,battle_bg_1,battle_map_1,ui_bg_1,
65,第65章,battle_bg_1,battle_map_1,ui_bg_1,
66,第66章,battle_bg_2,battle_map_2,ui_bg_2,
67,第67章,battle_bg_2,battle_map_2,ui_bg_2,
68,第68章,battle_bg_4,battle_map_4,ui_bg_4,
69,第69章,battle_bg_4,battle_map_4,ui_bg_4,
70,第70章,battle_bg_5,battle_map_5,ui_bg_5,
71,第71章,battle_bg_5,battle_map_5,ui_bg_5,
72,第72章,battle_bg_3,battle_map_3,ui_bg_3,
73,第73章,battle_bg_3,battle_map_3,ui_bg_3,
74,第74章,battle_bg_1,battle_map_1,ui_bg_1,
75,第75章,battle_bg_1,battle_map_1,ui_bg_1,
76,第76章,battle_bg_2,battle_map_2,ui_bg_2,
77,第77章,battle_bg_2,battle_map_2,ui_bg_2,
78,第78章,battle_bg_4,battle_map_4,ui_bg_4,
79,第79章,battle_bg_4,battle_map_4,ui_bg_4,
80,第80章,battle_bg_5,battle_map_5,ui_bg_5,
81,第81章,battle_bg_5,battle_map_5,ui_bg_5,
82,第82章,battle_bg_3,battle_map_3,ui_bg_3,
83,第83章,battle_bg_3,battle_map_3,ui_bg_3,
84,第84章,battle_bg_1,battle_map_1,ui_bg_1,
85,第85章,battle_bg_1,battle_map_1,ui_bg_1,
86,第86章,battle_bg_2,battle_map_2,ui_bg_2,
87,第87章,battle_bg_2,battle_map_2,ui_bg_2,
88,第88章,battle_bg_4,battle_map_4,ui_bg_4,
89,第89章,battle_bg_4,battle_map_4,ui_bg_4,
90,第90章,battle_bg_5,battle_map_5,ui_bg_5,
91,第91章,battle_bg_5,battle_map_5,ui_bg_5,
92,第92章,battle_bg_3,battle_map_3,ui_bg_3,
93,第93章,battle_bg_3,battle_map_3,ui_bg_3,
94,第94章,battle_bg_1,battle_map_1,ui_bg_1,
95,第95章,battle_bg_1,battle_map_1,ui_bg_1,
96,第96章,battle_bg_2,battle_map_2,ui_bg_2,
97,第97章,battle_bg_2,battle_map_2,ui_bg_2,
98,第98章,battle_bg_4,battle_map_4,ui_bg_4,
99,第99章,battle_bg_4,battle_map_4,ui_bg_4,
100,第100章,battle_bg_5,battle_map_5,ui_bg_5,
101,第101章,battle_bg_5,battle_map_5,ui_bg_5,
102,第102章,battle_bg_3,battle_map_3,ui_bg_3,
103,第103章,battle_bg_3,battle_map_3,ui_bg_3,
104,第104章,battle_bg_1,battle_map_1,ui_bg_1,
105,第105章,battle_bg_1,battle_map_1,ui_bg_1,
106,第106章,battle_bg_2,battle_map_2,ui_bg_2,
107,第107章,battle_bg_2,battle_map_2,ui_bg_2,
108,第108章,battle_bg_4,battle_map_4,ui_bg_4,
109,第109章,battle_bg_4,battle_map_4,ui_bg_4,
110,第110章,battle_bg_5,battle_map_5,ui_bg_5,
111,第111章,battle_bg_5,battle_map_5,ui_bg_5,
112,第112章,battle_bg_3,battle_map_3,ui_bg_3,
113,第113章,battle_bg_3,battle_map_3,ui_bg_3,
114,第114章,battle_bg_1,battle_map_1,ui_bg_1,
115,第115章,battle_bg_1,battle_map_1,ui_bg_1,
116,第116章,battle_bg_2,battle_map_2,ui_bg_2,
117,第117章,battle_bg_2,battle_map_2,ui_bg_2,
118,第118章,battle_bg_4,battle_map_4,ui_bg_4,
119,第119章,battle_bg_4,battle_map_4,ui_bg_4,
120,第120章,battle_bg_5,battle_map_5,ui_bg_5,
121,第121章,battle_bg_5,battle_map_5,ui_bg_5,
122,第122章,battle_bg_3,battle_map_3,ui_bg_3,
123,第123章,battle_bg_3,battle_map_3,ui_bg_3,
124,第124章,battle_bg_1,battle_map_1,ui_bg_1,
125,第125章,battle_bg_1,battle_map_1,ui_bg_1,
126,第126章,battle_bg_2,battle_map_2,ui_bg_2,
127,第127章,battle_bg_2,battle_map_2,ui_bg_2,
128,第128章,battle_bg_4,battle_map_4,ui_bg_4,
129,第129章,battle_bg_4,battle_map_4,ui_bg_4,
130,第130章,battle_bg_5,battle_map_5,ui_bg_5,
131,第131章,battle_bg_5,battle_map_5,ui_bg_5,
132,第132章,battle_bg_3,battle_map_3,ui_bg_3,
133,第133章,battle_bg_3,battle_map_3,ui_bg_3,
134,第134章,battle_bg_1,battle_map_1,ui_bg_1,
135,第135章,battle_bg_1,battle_map_1,ui_bg_1,
136,第136章,battle_bg_2,battle_map_2,ui_bg_2,
137,第137章,battle_bg_2,battle_map_2,ui_bg_2,
138,第138章,battle_bg_4,battle_map_4,ui_bg_4,
139,第139章,battle_bg_4,battle_map_4,ui_bg_4,
140,第140章,battle_bg_5,battle_map_5,ui_bg_5,
141,第141章,battle_bg_5,battle_map_5,ui_bg_5,
142,第142章,battle_bg_3,battle_map_3,ui_bg_3,
143,第143章,battle_bg_3,battle_map_3,ui_bg_3,
144,第144章,battle_bg_1,battle_map_1,ui_bg_1,
145,第145章,battle_bg_1,battle_map_1,ui_bg_1,
146,第146章,battle_bg_2,battle_map_2,ui_bg_2,
147,第147章,battle_bg_2,battle_map_2,ui_bg_2,
148,第148章,battle_bg_4,battle_map_4,ui_bg_4,
149,第149章,battle_bg_4,battle_map_4,ui_bg_4,
150,第150章,battle_bg_5,battle_map_5,ui_bg_5,
151,第151章,battle_bg_5,battle_map_5,ui_bg_5,
152,第152章,battle_bg_3,battle_map_3,ui_bg_3,
153,第153章,battle_bg_3,battle_map_3,ui_bg_3,
154,第154章,battle_bg_1,battle_map_1,ui_bg_1,
155,第155章,battle_bg_1,battle_map_1,ui_bg_1,
156,第156章,battle_bg_2,battle_map_2,ui_bg_2,
157,第157章,battle_bg_2,battle_map_2,ui_bg_2,
158,第158章,battle_bg_4,battle_map_4,ui_bg_4,
159,第159章,battle_bg_4,battle_map_4,ui_bg_4,
160,第160章,battle_bg_5,battle_map_5,ui_bg_5,
161,第161章,battle_bg_5,battle_map_5,ui_bg_5,
162,第162章,battle_bg_3,battle_map_3,ui_bg_3,
163,第163章,battle_bg_3,battle_map_3,ui_bg_3,
164,第164章,battle_bg_1,battle_map_1,ui_bg_1,
165,第165章,battle_bg_1,battle_map_1,ui_bg_1,
166,第166章,battle_bg_2,battle_map_2,ui_bg_2,
167,第167章,battle_bg_2,battle_map_2,ui_bg_2,
168,第168章,battle_bg_4,battle_map_4,ui_bg_4,
169,第169章,battle_bg_4,battle_map_4,ui_bg_4,
170,第170章,battle_bg_5,battle_map_5,ui_bg_5,
171,第171章,battle_bg_5,battle_map_5,ui_bg_5,
172,第172章,battle_bg_3,battle_map_3,ui_bg_3,
173,第173章,battle_bg_3,battle_map_3,ui_bg_3,
174,第174章,battle_bg_1,battle_map_1,ui_bg_1,
175,第175章,battle_bg_1,battle_map_1,ui_bg_1,
