num,roundType,power,bossId,boss,monster,powerRatio,reward,raidReward
int32,int32,int32,int32,int32,[]{int32 id;int32 lv},float,[]{int32 id;int32 n},[]{int32 id;int32 n;float odd}
1,0,17964,0,32043,32004~16|32043~16|0~16|0~16|0~16|0~16|0~16,1,10006~15|23202~1,10005~5000~1|10006~50~1|20041~2~0.45
2,0,17964,0,32123,0~17|0~17|0~17|32119~17|32123~17|0~17|0~17,1,10006~15|23102~1,10005~5000~1|10006~50~1|20041~2~0.45
3,0,17964,0,32042,0~18|0~18|32042~18|0~18|0~18|32042~18|0~18,1,10006~15|23302~1,10005~5000~1|10006~50~1|20041~2~0.45
4,0,18412,0,32119,32001~19|32119~19|0~19|0~19|0~19|0~19|0~19,1,10006~15|23402~1,10005~5000~1|10006~50~1|20041~2~0.45
5,1,18412,0,32005,0~20|0~20|0~20|32129~20|32005~20|0~20|0~20,1,10006~30|23202~1|23102~1|23302~1|23402~1,10005~5000~1|10006~50~1|20041~2~0.45
6,0,18796,0,32206,0~21|0~21|32042~21|32046~21|32206~21|0~21|0~21,1,10006~15|23202~1,10005~6000~1|10006~52~1|20042~1~0.45|20041~2~0.45
7,0,18796,0,32124,32009~22|32119~22|0~22|32124~22|0~22|0~22|0~22,1,10006~15|23102~1,10005~6000~1|10006~52~1|20042~1~0.45|20041~2~0.45
8,0,18796,0,32042,32119~23|32043~23|0~23|0~23|32042~23|0~23|0~23,1,10006~15|23302~1,10005~6000~1|10006~52~1|20042~1~0.45|20041~2~0.45
9,0,19124,0,32119,0~24|0~24|32042~24|32123~24|32119~24|0~24|0~24,1,10006~15|23402~1,10005~6000~1|10006~52~1|20042~1~0.45|20041~2~0.45
10,1,19124,31131,31131,32130~25|32130~25|0~25|0~25|0~25|0~25|31131~27,1,10006~30|23202~1|23102~1|23302~1|23402~1,10005~6000~1|10006~52~1|20042~1~0.45|20041~2~0.45
11,0,19392,0,32046,32126~26|32125~26|0~26|32119~26|32046~26|0~26|0~26,1,10006~15|23202~1,10005~7000~1|10006~54~1|20042~1~0.45|20041~2~0.45
12,0,19392,0,32119,0~27|0~27|32011~27|32124~27|32119~27|32124~27|0~27,1,10006~15|23102~1,10005~7000~1|10006~54~1|20042~1~0.45|20041~2~0.45
13,0,19392,0,32206,0~28|0~28|32046~28|32123~28|32206~28|32124~28|0~28,1,10006~15|23302~1,10005~7000~1|10006~54~1|20042~1~0.45|20041~2~0.45
14,0,19608,0,32119,32004~29|32043~29|0~29|32011~29|32119~29|0~29|0~29,1,10006~15|23402~1,10005~7000~1|10006~54~1|20042~1~0.45|20041~2~0.45
15,1,19608,0,32119,32004~31|32001~31|0~31|32124~31|32119~31|0~31|0~31,1,10006~30|23203~1|23103~1|23303~1|23403~1,10005~7000~1|10006~54~1|20042~1~0.45|20041~2~0.45
16,0,19672,0,32005,32043~32|32119~32|32206~32|32010~32|32005~32|0~32|0~32,1,10006~15|23203~1,10005~8000~1|10006~56~1|20042~1~0.45|20041~2~0.45
17,0,19672,0,32119,32043~33|32125~33|32123~33|32129~33|32119~33|0~33|0~33,1,10006~15|23103~1,10005~8000~1|10006~56~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
18,0,19672,0,32206,32009~34|32048~34|32119~34|32048~34|32206~34|0~34|0~34,1,10006~15|23303~1,10005~8000~1|10006~56~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
19,0,19992,0,32042,32043~35|32119~35|32048~35|32048~35|32042~35|0~35|0~35,1,10006~15|23403~1,10005~8000~1|10006~56~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
20,1,19992,31131,31131,32130~36|32130~36|0~36|0~36|0~36|0~36|31131~40,1,10006~30|23203~1|23103~1|23303~1|23403~1,10005~8000~1|10006~56~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
21,0,25375,0,32123,32164~37|32119~37|32010~37|32048~37|32123~37|32042~37|0~37,1,10006~15|23203~1,10005~9000~1|10006~58~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
22,0,25375,0,32042,32010~38|32009~38|32207~38|32046~38|32042~38|32005~38|0~38,1,10006~15|23103~1,10005~9000~1|10006~58~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
23,0,25375,0,32123,32009~39|32126~39|32010~39|32119~39|32123~39|32051~39|0~39,1,10006~15|23303~1,10005~9000~1|10006~58~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
24,0,25435,0,32119,32119~40|32001~40|32051~40|32124~40|32119~40|32042~40|0~40,1,10006~15|23403~1,10005~9000~1|10006~58~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
25,1,25435,0,32011,32119~42|32125~42|32207~42|32048~42|32011~42|32011~42|0~42,1,10006~30|23203~1|23103~1|23303~1|23403~1,10005~9000~1|10006~58~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
26,0,28010,0,32005,32001~43|32119~43|32048~43|32129~43|32005~43|32123~43|0~43,1,10006~15|23203~1,10005~10000~1|10006~60~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
27,0,28010,0,32042,32004~44|32119~44|32119~44|32051~44|32042~44|32048~44|0~44,1,10006~15|23103~1,10005~10000~1|10006~60~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
28,0,28010,0,32123,32164~45|32043~45|32129~45|32042~45|32123~45|32046~45|0~45,1,10006~15|23303~1,10005~10000~1|10006~60~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
29,0,28385,0,32046,32001~46|32119~46|32010~46|32005~46|32046~46|32207~46|0~46,1,10006~15|23403~1,10005~10000~1|10006~60~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
30,1,28385,31236,31236,32051~47|32051~47|0~47|0~47|0~47|0~47|31236~52,1,10006~35|23203~1|23103~1|23303~1|23403~1,10005~10000~1|10006~60~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
31,0,28440,0,32011,32047~48|32125~48|32207~48|32124~48|32011~48|32129~48|0~48,1,10006~15|23203~1,10005~11000~1|10006~62~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
32,0,28440,0,32042,32164~49|32126~49|32042~49|32206~49|32042~49|32119~49|0~49,1,10006~15|23103~1,10005~11000~1|10006~62~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
33,0,28440,0,32119,32004~50|32001~50|32011~50|32119~50|32119~50|32129~50|0~50,1,10006~15|23303~1,10005~11000~1|10006~62~1|20043~1~0.45|20042~2~0.45|20041~3~0.45
34,0,28795,0,32119,32047~51|32004~51|32051~51|32046~51|32119~51|32051~51|0~51,1,10006~15|23403~1,10005~11000~1|10006~62~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
