num,roundType,power,bossId,boss,monster,reward,raidReward
int32,int32,int32,int32,int32,[]{int32 id;int32 lv},[]{int32 id;int32 n},[]{int32 id;int32 n;float odd}
501,0,932065,0,32022,32235~270|32235~270|32061~270|32217~270|32022~270|32470~270|0~270,10006~220|23204~1,10005~105000~1|10006~250~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
502,0,932065,0,32180,32059~270|32020~270|32341~270|32236~270|32180~270|30256~270|0~270,10006~220|23104~1,10005~105000~1|10006~250~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
503,0,934555,0,32180,32060~270|32301~270|32064~270|32141~270|32180~270|32324~270|0~270,10006~220|23304~1,10005~105000~1|10006~250~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
504,0,937045,0,32062,32324~271|32059~271|32342~271|32324~271|32062~271|32260~271|0~271,10006~220|23404~1,10005~105000~1|10006~250~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
505,1,937045,0,32142,32060~271|32137~271|32141~271|32470~271|32142~271|32341~271|0~271,10006~440|23204~1|23104~1|23304~1|23404~1,10005~105000~1|10006~250~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
506,0,939535,0,32341,32236~271|32019~271|32060~271|32180~271|32341~271|32022~271|0~271,10006~220|23204~1,10005~106000~1|10006~252~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
507,0,939535,0,32220,32138~272|32020~272|32236~272|32061~272|32220~272|32470~272|0~272,10006~220|23104~1,10005~106000~1|10006~252~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
508,0,942035,0,32180,32060~272|32341~272|32342~272|32236~272|32180~272|30256~272|0~272,10006~220|23304~1,10005~106000~1|10006~252~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
509,0,944540,0,32300,32021~272|32136~272|32341~272|32180~272|32300~272|32063~272|0~272,10006~220|23404~1,10005~106000~1|10006~252~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
510,1,944540,31260,31260,32019~273|32301~273|0~273|0~273|0~273|0~273|31260~278,10006~440|23204~1|23104~1|23304~1|23404~1,10005~106000~1|10006~252~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
511,0,947040,0,30256,32236~273|32058~273|32180~273|32024~273|30256~273|32217~273|0~273,10006~220|23204~1,10005~107000~1|10006~254~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
512,0,947040,0,32341,32445~273|32301~273|32470~273|32220~273|32341~273|32300~273|0~273,10006~220|23104~1,10005~107000~1|10006~254~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
513,0,949545,0,32470,32445~273|32060~273|32324~273|32470~273|32470~273|32220~273|0~273,10006~220|23304~1,10005~107000~1|10006~254~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
514,0,952050,0,32140,32236~274|32301~274|32219~274|30256~274|32140~274|30256~274|0~274,10006~220|23404~1,10005~107000~1|10006~254~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
515,1,952050,0,32063,32445~274|32019~274|32236~274|32236~274|32063~274|32342~274|0~274,10006~440|23204~1|23104~1|23304~1|23404~1,10005~107000~1|10006~254~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
516,0,954565,0,32324,32020~274|32138~274|32180~274|32342~274|32324~274|32061~274|0~274,10006~220|23204~1,10005~108000~1|10006~256~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
517,0,954565,0,30256,32137~275|32301~275|32300~275|32300~275|30256~275|32236~275|0~275,10006~220|23104~1,10005~108000~1|10006~256~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
518,0,957080,0,32342,32020~275|32235~275|32220~275|30256~275|32342~275|32260~275|0~275,10006~220|23304~1,10005~108000~1|10006~256~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
519,0,959600,0,32062,32236~275|32060~275|32061~275|32341~275|32062~275|32470~275|0~275,10006~220|23404~1,10005~108000~1|10006~256~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
520,1,959600,31341,31341,32138~276|32021~276|0~276|0~276|0~276|0~276|31341~281,10006~440|23204~1|23104~1|23304~1|23404~1,10005~108000~1|10006~256~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
521,0,962115,0,32341,32060~276|32059~276|32022~276|32300~276|32341~276|32236~276|0~276,10006~220|23204~1,10005~109000~1|10006~258~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
522,0,962115,0,32024,32058~276|32341~276|32342~276|32324~276|32024~276|32180~276|0~276,10006~220|23104~1,10005~109000~1|10006~258~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
523,0,964645,0,32141,32137~277|32021~277|32260~277|30256~277|32141~277|32062~277|0~277,10006~220|23304~1,10005~109000~1|10006~258~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
524,0,967170,0,32220,32019~277|32059~277|32141~277|32022~277|32220~277|32024~277|0~277,10006~220|23404~1,10005~109000~1|10006~258~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
525,1,967170,0,32061,32136~278|32138~278|32324~278|32022~278|32061~278|32260~278|0~278,10006~440|23204~1|23104~1|23304~1|23404~1,10005~109000~1|10006~258~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
526,0,969705,0,32324,32301~278|32137~278|32024~278|32064~278|32324~278|32219~278|0~278,10006~220|23204~1,10005~110000~1|10006~260~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
527,0,969705,0,32064,32021~278|32136~278|32217~278|32022~278|32064~278|32142~278|0~278,10006~220|23104~1,10005~110000~1|10006~260~1|20044~1~0.45|20043~2~0.45|20042~3~0.45
