id,chapter,roundType,bossId,monster,show,reward,minuteCurrency
int32,int32,int32,int32,[]{int32 id;int32 lv},[]{int32 id;int64 n},[]{int32 id;int64 n},[]{int32 id;int32 n}
501,26,0,,30020~141|30516~141|30024~141|30503~141|30219~141|30024~141|0~141,,10001~56225|10003~37730|23104~1,10003~912|10001~577|10005~357
502,26,0,,30505~141|30019~141|30503~141|30217~141|30515~141|30512~141|0~141,,10001~56275|10003~37780|10005~44320,10003~914|10001~579|10005~357
503,26,0,,30510~141|30136~141|30141~141|30061~141|30140~141|30502~141|0~141,,10001~56325|10003~37830|23204~1,10003~915|10001~580|10005~357
504,26,0,,30509~141|30506~141|30502~141|30512~141|30508~141|30063~141|0~141,,10001~56375|10003~37880,10003~917|10001~581|10005~357
505,26,0,,30169~141|30053~141|30018~141|30219~141|30016~141|30023~141|0~141,21041~20,10001~56425|10003~37930|21041~20|10006~45,10003~919|10001~582|10005~357
506,26,0,,30058~141|30517~141|30219~141|30023~141|30140~141|30502~141|0~141,,10001~56475|10003~37980|23304~1,10003~920|10001~583|10005~357
507,26,0,,30517~141|30513~141|30503~141|30219~141|30219~141|30024~141|0~141,,10001~56525|10003~38030,10003~922|10001~584|10005~357
508,26,0,,30019~141|30516~141|30064~141|30063~141|30061~141|30502~141|0~141,,10001~56575|10003~38080|10005~44600|23404~1,10003~924|10001~586|10005~357
509,26,0,,30058~141|30235~141|30518~141|30508~141|30503~141|30502~141|0~141,,10001~56625|10003~38130,10003~925|10001~587|10005~357
510,26,1,30448,30058~141|30052~141|30062~141|30301~141|30064~141|30448~143|0~141,21051~5,10001~56675|10003~38180|21051~5|10006~45,10003~927|10001~588|10005~357
511,26,0,,30517~141|30301~141|30503~141|30504~141|30180~141|30217~141|0~141,,10001~56725|10003~38230|10005~44600|23104~1,10003~928|10001~589|10005~358
512,26,0,,30059~141|30060~141|30507~141|30508~141|30217~141|30063~141|0~141,,10001~56775|10003~38280,10003~930|10001~590|10005~358
513,26,0,,30137~141|30517~141|30503~141|30503~141|30062~141|30515~141|0~141,,10001~56825|10003~38330|23204~1,10003~932|10001~592|10005~358
514,26,0,,30137~142|30060~142|30518~142|30512~142|30515~142|30342~142|0~142,,10001~56875|10003~38380,10003~933|10001~593|10005~358
515,26,0,,30208~142|30236~142|30134~142|30142~142|30133~142|30063~142|0~142,21041~20,10001~56925|10003~38430|21041~20|10006~45,10003~935|10001~594|10005~358
516,26,0,,30020~142|30517~142|30507~142|30220~142|30220~142|30060~142|0~142,,10001~56975|10003~38480|23304~1,10003~937|10001~595|10005~358
517,26,0,,30059~142|30517~142|30063~142|30180~142|30515~142|30142~142|0~142,,10001~57025|10003~38530|10005~44880,10003~938|10001~596|10005~358
518,26,0,,30506~142|30509~142|30060~142|30503~142|30217~142|30503~142|0~142,,10001~57075|10003~38580|23404~1,10003~940|10001~597|10005~358
